fecha,titulo,autor(a),categoria,periodico,region,enlace
2023-03-10,"Manejo de Emergencias advierte sobre condiciones peligrosas en las playas del norte, este y oeste para los próximos días",Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/ultimas-noticias/manejo-de-emergencias-advierte-sobre-condiciones-peligrosas-en-las-playas-del-norte-este-y-oeste-para-los-proximos-dias/
2023-03-10,"Alcalde de Humacao reconoce trayectoria, labor social y cívica de damas con motivo de Semana de la Mujer",Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/municipios/alcalde-de-humacao-reconoce-trayectoria-labor-social-y-civica-de-damas-con-motivo-de-semana-de-la-mujer/
2023-03-09,"Doña Aida Rodríguez, ejemplo para todas las generaciones de mujeres, en la Semana de...",Magaly Monserrate-Cerpa,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/lado/dona-aida-rodriguez-ejemplo-para-todas-las-generaciones-de-mujeres-en-la-semana-de-la-mujer/
2023-03-09,La mujer al frente de una gran empresa de administración de salas de emergencias,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/ultimas-noticias/la-mujer-al-frente-de-una-gran-empresa-de-administracion-de-salas-de-emergencias/
2023-03-09,Senadora Rosamar Trujillo radica para la presidencia del PPD de Humacao,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/municipios/senadora-rosamar-trujillo-radica-para-la-presidencia-del-ppd-de-humacao/
2023-03-09,Optómetra certificada que se distingue por su excelente servicio y trato especial,Magaly Monserrate-Cerpa,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/lado/optometra-certificada-que-se-distingue-por-su-excelente-servicio-y-trato-especial/
2023-03-09,Más mujeres en el país se arman para sentirse seguras ,Magaly Monserrate-Cerpa,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/portada/mas-mujeres-en-el-pais-se-arman-para-sentirse-seguras/
2023-03-08,Los Grises de Humacao de la Liga de Baloncesto Puertorriqueña celebran este viernes su...,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/los-grises-de-humacao-de-la-liga-de-baloncesto-puertorriquena-celebran-este-viernes-su-primer-partido-de-playoffs/
2023-03-08,Se han registrado 77 ‘carjakings’ desde enero,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/se-han-registrado-77-carjakings-desde-enero/
2023-03-08,UPRH celebra conversatorio sobre la mujer en el deporte,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/uprh-celebra-conversatorio-sobre-la-mujer-en-el-deporte/
2023-03-06,DACO fiscalizará ventas por Internet para evitar anuncios engañosos que violen la reglamentación vigente,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/daco-fiscalizara-ventas-por-internet-para-evitar-anuncios-enganosos-que-violen-la-reglamentacion-vigente/
2023-03-03,Yabucoa contará con un nuevo centro Head Start del futuro,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/yabucoa-contara-con-un-nuevo-centro-head-start-del-futuro/
2023-03-03,Campaña de prevención de Carjackings,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/campana-de-prevencion-de-carjackings/
2023-03-02,Alcalde de San Lorenzo entrega Becas Deportivas,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/municipios/alcalde-de-san-lorenzo-entrega-becas-deportivas-2/
2023-03-02,Primer Ejecutivo de San Lorenzo continúa con plan de repavimentación de sectores y reparación...,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/municipios/primer-ejecutivo-de-san-lorenzo-continua-con-plan-de-repavimentacion-de-sectores-y-reparacion-de-derrumbes/
2023-03-02,"Invitan a celebrar Día Internacional de la Mujer, Damas de Éxito, en Yabucoa",Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/municipios/invitan-a-celebrar-dia-internacional-de-la-mujer-damas-de-exito-en-yabucoa/
2023-03-02,ACAA mejora la experiencia de navegación para los usuarios,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/acaa-mejora-la-experiencia-de-navegacion-para-los-usuarios/
