fecha,titulo,autor(a),categoria,periodico,region,enlace
2023-03-02 00:00:00,Con énfasis en la autogestión y la labor social “Alcalde en Tu Barrio”,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/con-énfasis-en-la-autogestión-y-la-labor-social-alcalde-en-tu-barrio
2023-03-02 00:00:00,Estudiantes de Juncos llegan a la televisión en el Día del Reportero Positivo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/estudiantes-de-juncos-llegan-a-la-televisión-en-el-día-del-reportero-positivo
2023-03-02 00:00:00,Exitosa segunda edición de Juventour Criollo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/exitosa-segunda-edición-de-juventour-criollo
2023-03-02 00:00:00,Alcalde de San Lorenzo entrega primeros incentivos a agricultores,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcalde-de-san-lorenzo-entrega-primeros-incentivos-a-agricultores
2023-03-02 00:00:00,Alcalde de Cidra participa en actividad del Mes de la Educación Ocupacional y Técnica,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcalde-de-cidra-participa-en-actividad-del-mes-de-la-educación-ocupacional-y-técnica
2023-03-02 00:00:00,Alcalde de Humacao da seguimiento a restauración de facilidades recreativas en mal estado,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcalde-de-humacao-da-seguimiento-a-restauración-de-facilidades-recreativas-en-mal-estado
2023-03-02 00:00:00,Comisión senatorial investiga alegadas prácticas ilícitas en proceso selección,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/comisión-senatorial-investiga-alegadas-prácticas-ilícitas-en-proceso-selección
2023-03-02 00:00:00,Procuradora de las Mujeres exhorta a víctimas de violencia de género a buscar ayuda disponible,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/procuradora-de-las-mujeres-exhorta-a-víctimas-de-violencia-de-género-a-buscar-ayuda-disponible
2023-03-02 00:00:00,Cayey invita a ser parte del Plan de Recuperación Municipal mediante cuestionario cibernético,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/cayey-invita-a-ser-parte-del-plan-de-recuperación-municipal-mediante-cuestionario-cibernético
2023-03-02 00:00:00,Alcaldesa de Aguas Buenas rinde reconocimiento a miembros destacados de la Policía en su municipio,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcaldesa-de-aguas-buenas-rinde-reconocimiento-a-miembros-destacados-de-la-policía-en-su-municipio
2023-03-02 00:00:00,Alcaldesa de Naguabo firma escrituras de Cesión de Propiedades de Uso Público de Vista Verde,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcaldesa-de-naguabo-firma-escrituras-de-cesión-de-propiedades-de-uso-público-de-vista-verde
2023-03-02 00:00:00,Ofrecen clínica de mamografía en Caguas,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/ofrecen-clínica-de-mamografía-en-caguas
2023-03-02 00:00:00,Celebran feria de Salud en CDT de Naguabo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/celebran-feria-de-salud-en-cdt-de-naguabo
2023-03-02 00:00:00,"Jóvenes de Caguas, Cayey, Gurabo, San Lorenzo y Humacao reciben premios a la Excelencia Juvenil",Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/jóvenes-de-caguas-cayey-gurabo-san-lorenzo-y-humacao-reciben-premios-a-la-excelencia-juvenil
2023-03-02 00:00:00,Representante Sol Higgins lleva DTOP a escuela en Humacao para que alumnos saquen licencia,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/representante-sol-higgins-lleva-dtop-a-escuela-en-humacao-para-que-alumnos-saquen-licencia
2023-03-02 00:00:00,Alcaldesa de Naguabo entrega ayuda para espejuelos,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcaldesa-de-naguabo-entrega-ayuda-para-espejuelos
2023-03-02 00:00:00,Familias del área centro-oriental se benefician de entrega de llaves de hogares reconstruidos,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/familias-del-área-centro-oriental-se-benefician-deentrega-de-llaves-de-hogares-reconstruidos
2023-02-28 00:00:00,FBI pone bajo arresto a Victor Pizarro Santiago por pornografía infantil,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/fbi-pone-bajo-arresto-a-victor-pizarro-santiago-por-pornografía-infantil
2023-02-28 00:00:00,Arrestan a cuatro asaltantes en Río Piedras,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/arrestan-a-cuatro-asaltantes-en-río-piedras
2023-02-28 00:00:00,Alianza Puertorriqueña de Psicología denuncia inacción de ASES contra APS,Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/alianza-puertorriqueña-de-psicología-denuncia-inacción-de-ases-contra-aps
2023-02-28 00:00:00,Asesinato y herido de bala en Guaynabo,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/asesinato-y-herido-de-bala-en-guaynabo
2023-02-26 00:00:00,Gobernador veta medida que enmendaba Ley de Confiscaciones,Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/gobernador-veta-medida-que-enmendaba-ley-de-confiscaciones
2023-02-26 00:00:00,Representante Jocelyne Rodríguez cataloga de errada decisión de cierre del Zoológico,Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/representante-jocelyne-rodríguez-cataloga-de-errada-decisión-de-cierre-del-zoológico
2023-02-23 00:00:00,Presidente del PPD en Aguas Buenas representará presidentes municipales en Junta de Gobierno,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/presidente-del-ppd-en-aguas-buenas-representará-presidentes-municipales-en-junta-de-gobierno
2023-02-23 00:00:00,Aguas Buenas celebra ceremonia en recordación de estudiantes que fallecieron en accidente en 1978,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/aguas-buenas-celebra-ceremonia-en-recordación-de-estudiantes-que-fallecieron-en-accidente-en-1978-1
2023-02-23 00:00:00,Celebrarán Bazar de Emprendedoras en Cayey en conmemoración Día de la Mujer Trabajadora,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/celebrarán-bazar-de-emprendedoras-en-cayey-en-conmemoración-día-de-la-mujer-trabajadora
2023-02-23 00:00:00,"Teniente “Comandante de Distrito del Año, área de Humacao y Comandante de Distrito Nivel Isla”",Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/teniente-comandante-de-distrito-del-año-área-de-humacao-y-comandante-de-distrito-nivel-isla
2023-02-23 00:00:00,En buen estado el representante a la Cámara Jesús Santa Rodríguez tras afección de salud,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/en-buen-estado-el-representante-a-la-cámara-jesús-santa-rodríguez-tras-afección-de-salud
2023-02-23 00:00:00,Representante Sol Higgins se reúne con directores regionales de la Acueductos y Edificios Públicos,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/representante-sol-higgins-se-reúne-con-directores-regionales-de-la-acueductos-y-edificios-públicos
2023-02-23 00:00:00,Alcalde de San Lorenzo se reúne con senadora Wandy Soto y representante Ramón Luis Cruz Burgos,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcalde-de-san-lorenzo-se-reúne-con-senadora-wandy-soto-y-representante-ramón-luis-cruz-burgos
2023-02-23 00:00:00,Dalmau radica medidas para atender problemas de iluminación en la PR-30 y otras carreteras del país,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/dalmau-radica-medidas-para-atender-problemas-de-iluminación-en-la-pr-30-y-otras-carreteras-del-país
2023-02-23 00:00:00,Celebran en Humacao la vida de Tito Rojas con develación de calle y fiesta de pueblo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/celebran-en-humacao-la-vida-de-tito-rojas-con-develación-de-calle-y-fiesta-de-pueblo
2023-02-23 00:00:00,Senadora Rosamar Trujillo Plumey entrega moción a las hijas y viuda de Tito Rojas,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/senadora-rosamar-trujillo-plumey-entrega-moción-a-las-hijas-y-viuda-de-tito-rojas
2023-02-23 00:00:00,Alcaldesa de Naguabo se une al llamado de 40 días de oración y ayuno,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcaldesa-de-naguabo-se-une-al-llamado-de-40-días-de-oración-y-ayuno-1
2023-02-23 00:00:00,Cayey abre su plaza Ramón Frade León a talleres culturales para la comunidad,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/cayey-abre-su-plaza-ramón-frade-león-a-talleres-culturales-para-la-comunidad
2023-02-23 00:00:00,Reanundan servicio de trolley en Naguabo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/reanundan-servicio-de-trolley-en-naguabo
2023-02-23 00:00:00,Huertas College dedica 75ta. Colación de Grados a fundadores,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/huertas-college-dedica-75ta-colación-de-grados-a-fundadores
2023-02-23 00:00:00,Escritora yabucoeña presenta libro inspirado en la poetisa Julia de Burgos,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/escritora-yabucoeña-presenta-libro-inspirado-en-la-poetisa-julia-de-burgos
2023-02-20 00:00:00,Accidente con motora de caracter grave en Morovis,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/accidente-con-motora-de-caracter-grave-en-morovis
2023-02-20 00:00:00,En condición de gravedad conductor chocado en Fajardo,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/en-condición-de-gravedad-conductor-chocado-en-fajardo
2023-02-20 00:00:00,Cierran dos carriles en la PR-22 por derrame de combustible en dirección hacia Arecibo,Editorial Semana,seguridad,La Semana,Caguas,https://www.lasemanapr.com/post/cierran-dos-carriles-en-la-pr-22-por-derrame-de-combustible-en-dirección-hacia-arecibo
2023-02-17 00:00:00,AAA actualización sobre el estatus del servicio en Dorado y sectores de Vega Alta ,Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/aaa-actualización-sobre-el-estatus-del-servicio-en-dorado-y-sectores-de-vega-alta
2023-02-17 00:00:00,Gobernador Pierluisi anuncia aprobación de FEMA para proyecto de mitigación en el río Yagüez,Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/gobernador-pierluisi-anuncia-aprobación-de-fema-para-proyecto-de-mitigación-en-el-río-yagüez
2023-02-16 00:00:00,Familias de la región centro-oriental reciben títulos de propiedad y vales de materiales,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/familias-de-la-región-centro-oriental-reciben-títulos-de-propiedad-y-vales-de-materiales
2023-02-16 00:00:00,Programa de Estorbos Públicos del Municipio de Cidra celebrará vista administrativa ,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/programa-de-estorbos-públicos-del-municipio-de-cidra-celebrará-vista-administrativa
2023-02-16 00:00:00,San Lorenzo con 100 millones de dólares asignados para obra permanente,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/san-lorenzo-con-100-millones-de-dólares-asignados-para-obra-permanente
2023-02-16 00:00:00,"“Jamás pensé que el hijo de un amigo llegara a esto”, dice Jenniffer González sobre Vista Pública",Editorial Semana,municipales,La Semana,Caguas,https://www.lasemanapr.com/post/jamás-pensé-que-el-hijo-de-un-amigo-llegara-a-esto-dice-jenniffer-gonzález-sobre-vista-pública
2023-02-16 00:00:00,Alcaldes asociados esperan millón prometido por gobernador,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/alcaldes-asociados-esperan-millón-prometido-por-gobernador
2023-02-16 00:00:00,Oficina de Reciclaje del Municipio de Yabucoa ofrece charla en Escuela Asunción Lugo,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/oficina-de-reciclaje-del-municipio-de-yabucoa-ofrece-charla-en-escuela-asunción-lugo
2023-02-16 00:00:00,"Senado reconoce escuela de Yabucoa, primera en ser certificada por el Programa CERT",Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/senado-reconoce-escuela-de-yabucoa-primera-en-ser-certificada-por-el-programa-cert
2023-02-16 00:00:00,Senadora Rosamar Trujillo Plumey celebra bohemia en Humacao,Editorial Semana,Locales,La Semana,Caguas,https://www.lasemanapr.com/post/senadora-rosamar-trujillo-plumey-celebra-bohemia-en-humacao
