fecha,titulo,autor,categoria,enlace
2023-03-08,11 mujeres latinoamericanas reflexionan sobre los obstáculos que enfrentan en la región,Grupo de Diarios América,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/11-mujeres-latinoamericanas-reflexionan-sobre-los-obstaculos-que-enfrentan-en-la-region/
2023-03-08,Gobierno mexicano considera que el secuestro de cuatro estadounidenses ocurrió por una “confusión” de los criminales,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/gobierno-mexicano-considera-que-el-secuestro-de-cuatro-estadounidenses-ocurrio-por-una-confusion-de-los-criminales/
2023-03-08,Estados Unidos y Francia reafirman la ayuda militar a Ucrania ,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/estados-unidos-y-francia-reafirman-la-ayuda-militar-a-ucrania/
2023-03-07,Hallan muertos a dos de cuatro estadounidenses raptados tras tiroteo en México,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/hallan-muertos-a-dos-de-cuatro-estadounidenses-raptados-tras-tiroteo-en-mexico/
2023-03-07,Hermana de Kim Jong Un advierte que Corea del Norte está listo para actuar,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/hermana-de-kim-jong-un-advierte-que-corea-del-norte-esta-listo-para-actuar/
2023-03-06,Arqueólogos descubren una estatua y un santuario en un templo de Egipto,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/arqueologos-descubren-una-estatua-y-un-santuario-en-un-templo-de-egipto/
2023-03-06,Prevén reabrir la catedral de Notre Dame en París en diciembre del 2024,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/preven-reabrir-la-catedral-de-notre-dame-en-paris-en-diciembre-del-2024/
2023-03-06,"México: secuestran a cuatro ciudadanos estadounidenses y el FBI ofrece $50,000 de recompensa",The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/mexico-secuestran-a-cuatro-ciudadanos-estadounidenses-y-el-fbi-ofrece-50000-de-recompensa/
2023-03-06,Confirman mediante ADN que restos humanos pertenecen a exmodelo asesinada en Hong Kong,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/confirman-mediante-adn-que-restos-humanos-pertenecen-a-exmodelo-asesinada-en-hong-kong/
2023-03-06,España reclama a Estados Unidos que se lleve las tierras contaminadas con plutonio,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/espana-reclama-a-estados-unidos-que-se-lleve-las-tierras-contaminadas-con-plutonio/
2023-03-06,Acusan de homicidio negligente al jefe de la estación de metro donde chocaron dos trenes en Grecia ,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/acusan-de-homicidio-negligente-al-jefe-de-la-estacion-de-metro-donde-chocaron-dos-trenes-en-grecia/
2023-03-05,Acusan al hijo del presidente de Colombia de recibir dinero de narcotraficiante,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/acusan-al-hijo-del-presidente-de-colombia-de-recibir-dinero-de-narcotraficiante/
