fecha,titulo,autor,categoria,enlace
2023-03-10,"Angélica Varela Llavona, nueva rectora de la UPR de Río Piedras: “Va a prevalecer  una administración transparente”",Keila López Alicea,Locales,https://www.elnuevodia.com/noticias/locales/notas/angelica-varela-llavona-nueva-rectora-de-la-upr-de-rio-piedras-va-a-prevalecer-una-administracion-transparente/
2023-03-10,No encuentran causa para arresto contra manifestantes detenidos sobre la cueva Las Golondrinas en Aguadilla,Alex Figueroa Cancel,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/no-encuentran-causa-para-arresto-contra-manifestantes-detenidos-sobre-la-cueva-las-golondrinas-en-aguadilla/
2023-03-10,Emerge un súper PAC de empresarios para apoyar a candidatos que promuevan políticas de libre mercado en las elecciones de 2024 ,Gloria Ruiz Kuilan,Politica,https://www.elnuevodia.com/noticias/politica/notas/emerge-un-super-pac-de-empresarios-para-apoyar-a-candidatos-que-promuevan-politicas-de-libre-mercado-en-las-elecciones-de-2024/
2023-03-10,Incendio forestal entre San Germán y Maricao es “de los más complejos” registrados en Puerto Rico,Carlos Tolentino Rosario,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/incendio-forestal-entre-san-german-y-maricao-es-de-los-mas-complejos-registrados-en-puerto-rico/
2023-03-10,Artista honra a Karol G con un imponente mural en Puerta de Tierra,No autor,Locales,https://www.elnuevodia.com/noticias/locales/videos/artista-honra-a-karol-g-con-un-imponente-mural-en-puerta-de-tierra-281496/
2023-03-10,Asesinan a un hombre de 28 años en Juana Díaz,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/asesinan-a-un-hombre-de-28-anos-en-juana-diaz/
2023-03-10,"Exalcalde de Humacao, Reinaldo Vargas, llega a un acuerdo para declararse culpable por cargos de corrupción",Alex Figueroa Cancel,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/exalcalde-de-humacao-reinaldo-vargas-llega-a-un-acuerdo-para-declararse-culpable-por-cargos-de-corrupcion/
2023-03-10,Policía investiga aparente incidente de violencia de género captado en un video ,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/policia-investiga-aparente-incidente-de-violencia-de-genero-captado-en-un-video/
2023-03-09,La Policía identifica a las víctimas de un ataque a tiros en Yauco: dos jóvenes de 20 años,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/la-policia-identifica-a-las-victimas-de-un-ataque-a-tiros-en-yauco-dos-jovenes-de-20-anos/
2023-03-09,Arrestan en Río Piedras a tres hombres vinculados a una decena de “carjackings”,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/arrestan-en-rio-piedras-a-tres-hombres-vinculados-a-una-decena-de-carjackings/
2023-03-09,Bomberos vigilan incendio forestal registrado en Añasco,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/bomberos-vigilan-incendio-forestal-registrado-en-anasco/
2023-03-09,Muere un peatón tras ser atropellado por un conductor que se fue a la fuga en Hatillo,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/muere-un-peaton-tras-ser-atropellado-por-un-conductor-que-se-fue-a-la-fuga-en-hatillo/
