fecha,titulo,autor,categoria,enlace
2023-02-22,Otra vez: Biden tropieza en escaleras del Air Force One,No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/otra-vez-biden-tropieza-en-escaleras-del-air-force-one-281261/
2023-02-26,"""Estamos en un momento igual de turbulento"": Centro de Estudios Puertorriqueños celebra su 50 aniversario",No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/estamos-en-un-momento-igual-de-turbulento-centro-de-estudios-puertorriquenos-celebra-su-50-aniversario-281301/
2023-03-02,Captan momento en que casa explotó con bomberos adentro en New Jersey,No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/captan-momento-en-que-casa-exploto-con-bomberos-adentro-en-new-jersey-281371/
2023-03-02,Encuentran insecto de era Jurásica en Walmart de Arkansas,No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/encuentran-insecto-de-era-jurasica-en-walmart-de-arkansas-281368/
2023-03-07,"Retiran unos 2,900 frascos de gotas oculares en Estados Unidos tras riesgos de contaminación  ",The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/retiran-unos-2900-frascos-de-gotas-oculares-en-estados-unidos-tras-riesgos-de-contaminacion/
2023-03-07,Biden considera detener a familias de migrantes que entren al país de manera ilegal ,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/biden-considera-detener-a-familias-de-migrantes-que-entren-al-pais-de-manera-ilegal/
2023-03-07,Estados Unidos considera declarar a los cárteles mexicanos del narcotráfico como grupos terroristas,Agencia EFE,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/estados-unidos-considera-declarar-a-los-carteles-mexicanos-del-narcotrafico-como-grupos-terroristas/
2023-03-08,Ejecutivo de farmacéutica en Estados Unidos cumplirá 27 meses de cárcel por conspirar en la venta de opioides,Agencia EFE,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/ejecutivo-de-farmaceutica-en-estados-unidos-cumplira-27-meses-de-carcel-por-conspirar-en-la-venta-de-opioides/
2023-03-08,Justicia federal investigará los reglamentos de la Policía tras el asesinato de Tyre Nichols,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/justicia-federal-investigara-los-reglamentos-de-la-policia-tras-el-asesinato-de-tyre-nichols/
2023-03-08,Mueren cuatro personas en un choque de avionetas en Florida,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/mueren-cuatro-personas-en-un-choque-de-avionetas-en-florida/
2023-03-08,Presidente de la cadena televisiva Fox declara que las elecciones del 2020 “no fueron robadas”,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/presidente-de-la-cadena-televisiva-fox-declara-que-las-elecciones-del-2020-no-fueron-robadas/
2023-03-08,Jennifer Macleall se convierte en la primera mujer afodescendiente en ser representante de Virginia,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/jennifer-macleall-se-convierte-en-la-primera-mujer-afodescendiente-en-ser-representante-de-virginia/
2023-03-08,Aterrador momento en que una guagua se estrella contra un negocio en Houston,No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/aterrador-momento-en-que-una-guagua-se-estrella-contra-un-negocio-en-houston-281481/
2023-03-09,Hospitalizan al líder republicano Mitch McConnell tras caída en un hotel en Washington,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/hospitalizan-al-lider-republicano-mitch-mcconnell-tras-caida-en-un-hotel-en-washington/
2023-03-09,Kamala Harris insta a la adopción de una “nueva economía de energía limpia” para afrontar la crisis climática,Agencia EFE,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/kamala-harris-insta-a-la-adopcion-de-una-nueva-economia-de-energia-limpia-para-afrontar-la-crisis-climatica/
2023-02-21,Así capturaron al enorme caimán que mató a una anciana en Florida,No autor,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/videos/asi-capturaron-al-enorme-caiman-que-mato-a-una-anciana-en-florida-281246/
2023-03-01,Joven que agredió a maestra en Florida se podría enfrentar a 30 años de cárcel,Agencia EFE,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/joven-que-agredio-a-maestra-en-florida-se-podria-enfrentar-a-30-anos-de-carcel/
2023-03-02,“Esta lluvia y nieve son contrarias a lo normal y sumamente inesperadas”: sorprendida la NOAA tras los fenómenos en la costa del Pacífico,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/esta-lluvia-y-nieve-son-contrarias-a-lo-normal-y-sumamente-inesperadas-sorprendida-la-noaa-tras-los-fenomenos-en-la-costa-del-pacifico/
2023-03-02,Presentan demandas contra Trump por el asalto al Capitolio federal en 2021,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/presentan-demandas-contra-trump-por-el-asalto-al-capitolio-federal-en-2021/
2023-03-02,Siete personas resultan heridas tras aterrizaje de emergencia de un avión de Lufthansa ,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/siete-personas-resultan-heridas-tras-aterrizaje-de-emergencia-de-un-avion-de-lufthansa/
2023-03-02,Joe Biden insta a los legisladores demócratas a no conformarse con el trabajo realizado,Agencia EFE,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/joe-biden-insta-a-los-legisladores-democratas-a-no-conformarse-con-el-trabajo-realizado/
2023-03-02,Arrestan a un hombre tras intentar introducir explosivos a un avión en Pensilvania,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/arrestan-a-un-hombre-tras-intentar-introducir-explosivos-a-un-avion-en-pensilvania/
2023-03-03,Empresario que enfrentaba condena por sobornos mata a su hijo de 3 años antes de privarse la vida,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/empresario-que-enfrentaba-condena-por-sobornos-mata-a-su-hijo-de-3-anos-antes-de-privarse-la-vida/
2023-03-03,Sentencian a cadena perpetua a exabogado Alex Murdaugh por el asesinato de su esposa e hijo ,The Associated Press,Estados Unidos,https://www.elnuevodia.com/noticias/estados-unidos/notas/sentencian-a-cadena-perpetua-a-exabogado-alex-murdaugh-por-el-asesinato-de-su-esposa-e-hijo/
