fecha,autor,titulo,enlace,fuente_original,enlace_original
2023-03-10,Jagual Media,Se confirma creación de súper PAC de empresarios,https://jayfonseca.com/se-confirma-creacion-de-super-pac-de-empresarios/,El Nuevo Día,https://www.elnuevodia.com/noticias/politica/notas/emerge-un-super-pac-de-empresarios-para-apoyar-a-candidatos-que-promuevan-politicas-de-libre-mercado-en-las-elecciones-de-2024/?r=57066
2023-03-10,Jagual Media,Escucha aquí el resumen de Noticias con Calle de hoy 10 de marzo de 2023,https://jayfonseca.com/escucha-aqui-el-resumen-de-noticias-con-calle-de-hoy-10-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-10,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy viernes 10 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-viernes-10-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-10,Jagual Media,Junta del CRIM  aprueba cambios al impuesto al inventario,https://jayfonseca.com/junta-del-crim-aprueba-cambios-al-impuesto-al-inventario/,El Nuevo Día,https://www.elnuevodia.com/negocios/economia/notas/junta-de-gobierno-del-crim-aprueba-medida-sobre-sustitucion-del-impuesto-al-inventario/
2023-03-10,Jagual Media,Ilegal cobro de $500 por marbete al comprar carro nuevo o usado,https://jayfonseca.com/ilegal-cobro-de-500-por-marbete-al-comprar-carro-nuevo-o-usado/,El Vocero,https://www.elvocero.com/economia/autos/concesionarios-de-autos-deben-devolver-el-dinero-por-el-cobro-ilegal-de-las-tablillas-y/article_5dfdba1e-bee6-11ed-8cd2-2b57b7adc441.html
2023-03-10,Jagual Media,Defensa de Sixto George pide se le permita divulgar evidencia que Fiscalía le entregó sobre su caso por extorsión,https://jayfonseca.com/defensa-de-sixto-george-pide-se-le-permita-divulgar-evidencia-que-fiscalia-le-entrego-sobre-su-caso-por-extorsion/,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20230310/fiscalia-federal-quiere-destruir-evidencia-de-su-mala-conducta-dice-defensa-de-diaz-colon/
2023-03-10,Cynthia López Cabán,Exalcalde de Humacao también levanta las manos,https://jayfonseca.com/exalcalde-de-humacao-tambien-levanta-las-manos/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-09,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy jueves 9 de marzo 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-jueves-9-de-marzo-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-09,Jagual Media,Delitos de maltrato en el zoológico pudieron haber prescrito,https://jayfonseca.com/delitos-de-maltrato-en-el-zoologico-pudieron-haber-prescrito/,Noticel,https://www.noticel.com/gobierno/ahora/top-stories/20230309/acuerdo-federal-sobre-zoologico-revela-inaccion-de-rossello-vazquez-y-pierluisi/
2023-03-09,Jagual Media,Zoológico será parque pasivo en tres años ,https://jayfonseca.com/zoologico-sera-parque-pasivo-en-tres-anos/,El Vocero,https://www.elvocero.com/gobierno/agencias/tomar-de-dos-a-tres-a-os-transformar-el-zool-gico-en-un-ecojard-n/article_b3843eee-be1a-11ed-97e9-9b308a89542f.html
2023-03-09,Jagual Media,Huracán María ayudó a sobrepasar mejor el lockdown del COVID-19,https://jayfonseca.com/huracan-maria-ayudo-a-sobrepasar-mejor-el-lockdown-del-covid-19/,Noticel,https://www.noticel.com/salud/top-stories/20230309/huracan-maria-tuvo-un-efecto-muchisimo-mas-negativo-en-la-salud-mental-que-la-pandemia/
2023-03-09,Jagual Media,Bajo el nivel de vacunación con la nueva dosis contra COVID-19,https://jayfonseca.com/bajo-el-nivel-de-vacunacion-con-la-nueva-dosis-contra-covid-19/,Metro PR,https://www.metro.pr/noticias/2023/03/09/sin-proteccion-la-mayoria-en-puerto-rico-a-tres-anos-del-covid-19/
2023-03-09,Jagual Media,Gobierno construirá una nueva planta de gas natural,https://jayfonseca.com/gobierno-construira-una-nueva-planta-de-gas-natural/,El Nuevo Día,https://www.elnuevodia.com/negocios/economia/notas/gobierno-construira-una-nueva-planta-de-gas-natural/
2023-03-09,Cynthia López Cabán,Desmienten Ángel Pérez vaya a levantar las manos,https://jayfonseca.com/desmienten-angel-perez-vaya-a-levantar-las-manos/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
