fecha,titulo,autor(a),categoria,enlace
2023-03-10,Activista puesto de liderato en la juventud del partido MVC,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/activista-puesto-de-liderato-en-la-juventud-del-partido-mvc/
2023-03-10,No paran las muertes por COVID: Salud reporta tres decesos más en la isla,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/no-paran-las-muertes-por-covid-salud-reporta-tres-decesos-mas-en-la-isla/
2023-03-10,Fuerte sismo sacude a Colombia en plena madrugada,Publimetro Colombia,Noticias,https://www.metro.pr/noticias/2023/03/10/fuerte-sismo-sacude-a-colombia-en-plena-madrugada/
2023-03-10,Polvo y contaminación reducen calidad del aire en Beijing,AP,Noticias,https://www.metro.pr/noticias/2023/03/10/polvo-y-contaminacion-reducen-calidad-del-aire-en-beijing/
2023-03-10,Xi Jinping obtiene un tercer periodo al frente de China,AP,Noticias,https://www.metro.pr/noticias/2023/03/10/xi-jinping-obtiene-un-tercer-periodo-al-frente-de-china/
2023-03-10,Xi Jinping obtiene un tercer periodo como presidente de China,AP,Noticias,https://www.metro.pr/noticias/2023/03/10/xi-jinping-obtiene-un-tercer-periodo-como-presidente-de-china/
2023-03-10,Gobierno otorga préstamo a Indulac para que renueve su planta procesadora de leche ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/gobierno-otorga-prestamo-a-indulac-para-que-renueve-su-planta-procesadora-de-leche/
2023-03-10,"Jenniffer González presenta medida para la protección cultivos de plátano, guineos y cacao",Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/jenniffer-gonzalez-presenta-medida-para-la-proteccion-cultivos-de-platano-guineos-y-cacao/
2023-03-10,Hombre resulta herido de bala mientras se bajaba de un Uber en Carolina ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/hombre-resulta-herido-de-bala-mientras-se-bajaba-de-un-uber-en-carolina/
2023-03-10,Fianza $100 mil contra joven por robarle auto a maestra en Peñuelas,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/fianza-100-mil-contra-joven-por-robarle-auto-a-maestra-en-penuelas/
2023-03-10,"Agresor en Alemania disparó y mató a ocho personas, luego se quitó la vida",AP,Noticias,https://www.metro.pr/noticias/2023/03/10/un-tiroteo-deja-varios-muertos-en-una-iglesia-en-alemania/
2023-03-10,Mujer herida de bala mientras transitaba con su novio por Santurce,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/mujer-herida-de-bala-mientras-transitaba-con-su-novio-por-santurce/
2023-03-10,LUMA busca combatir los casos de estafas a través de llamadas telefónicas ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/luma-busca-combatir-los-casos-de-estafas-a-traves-de-llamadas-telefonicas/
2023-03-10,Accidente con camión volcado en la PR-30 de Caguas hacia Humacao,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/accidente-con-camion-volcado-en-la-pr-30-de-caguas-hacia-humacao/
2023-03-10,Mujer agrede a guardia por no querer usar mascarilla en hospital de Santurce,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/mujer-agrede-a-guardia-por-no-querer-usar-mascarilla-en-hospital-de-santurce/
2023-03-10,Pierluisi rechaza proyecto sobre el aborto radicado en la Cámara ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/pierluisi-rechaza-proyecto-sobre-el-aborto-radicado-en-la-camara/
2023-03-10,Rompen plancha de ‘zinc’ para robar en un taller de Cayey,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/rompen-plancha-de-zinc-para-robar-en-un-taller-de-cayey/
2023-03-10,Alcalde de Humacao se declara culpable en su caso por corrupción ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/alcalde-de-humacao-se-declara-culpable-en-su-caso-por-corrupcion/
2023-03-10,Se llevan hasta las luces navideñas de una casa en San Lorenzo,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/se-llevan-hasta-las-luces-navidenas-de-una-casa-en-san-lorenzo/
2023-03-10,Robo en los predios de una gallera en Moca,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/robo-en-los-predios-de-una-gallera-en-moca/
2023-03-09,Australia comprará submarinos de propulsión nuclear de EEUU,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/australia-comprara-submarinos-de-propulsion-nuclear-de-eeuu/
2023-03-09,México: presidente dice que el fentanilo es problema de EEUU,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/mexico-presidente-dice-que-el-fentanilo-es-problema-de-eeuu/
2023-03-09,"Por fraude, 10 años de prisión a exbanquero de Goldman Sachs",AP,Noticias,https://www.metro.pr/noticias/2023/03/09/por-fraude-10-anos-de-prision-a-exbanquero-de-goldman-sachs/
2023-03-09,Muere 3ra persona herida en estampida en concierto de rap,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/muere-3ra-persona-herida-en-estampida-en-concierto-de-rap/
