fecha,titulo,autor(a),categoria,enlace
2023-03-10,Pierluisi dice que llevará pleito por la Reforma Laboral hasta el Supremo federal,CyberNews,Economia,https://www.noticel.com/economia/junta-fiscal/ahora/top-stories/20230310/pierluisi-dice-que-llevara-pleito-por-la-reforma-laboral-hasta-el-supremo-federal/
2023-03-10,Temblor en Colombia sacude la mayor parte del país,EFE,Mundo,https://www.noticel.com/mundo/20230310/temblor-en-colombia-sacude-la-mayor-parte-del-pais/
2023-03-10,Le roban tres catalíticos a autos en el estacionamiento de hotel en Isla Verde,NotiCel,Policiacas,https://www.noticel.com/policiacas/la-calle/20230310/le-roban-tres-cataliticos-a-autos-en-el-estacionamiento-de-hotel-en-isla-verde/
2023-03-10,Plá Cortés ve con buenos ojos posible aspiración de secretario de Salud a Washington,Leoncio Pineda Dattari,Salud,https://www.noticel.com/salud/top-stories/20230310/pla-cortes-ve-con-buenos-ojos-posible-aspiracion-de-secretario-de-salud-a-washington/
2023-03-10,Discover Puerto Rico anticipa un año récord para el turismo,Antonio Gómez/ Especial para NotiCel,Economia,https://www.noticel.com/economia/top-stories/20230310/discover-puerto-rico-anticipa-un-ano-record-para-el-turismo/
2023-03-10,CEE informa que está bajo déficit presupuestario de $17 millones,Naysha Zamira Padró,Ahora,https://www.noticel.com/ahora/legislatura/top-stories/20230310/cee-informa-que-esta-bajo-deficit-presupuestario-de-17-millones/
2023-03-10,La propaganda de grupos supremacistas alcanza niveles históricos,EFE,Estados-Unidos,https://www.noticel.com/estados-unidos/mundo/top-stories/20230310/la-propaganda-de-grupos-supremacistas-alcanza-niveles-historicos/
2023-03-10,Lo asesinan frente a colmado en Juana Díaz,CyberNews,Policiacas,https://www.noticel.com/policiacas/la-calle/20230310/lo-asesinan-frente-a-colmado-en-juana-diaz/
2023-03-10,"Tendremos cielo despejado, pero hay peligro en las playas del norte",NotiCel,El-Tiempo,https://www.noticel.com/el-tiempo/20230310/tendremos-cielo-despejado-pero-hay-peligro-en-las-playas-del-norte/
2023-03-10,Criollas vienen de atrás para llevarse la victoria,NotiCel,Deportes,https://www.noticel.com/deportes/20230310/criollas-vienen-de-atras-para-llevarse-la-victoria/
