fecha,titulo,autor(a),categoria,enlace
2023-03-05,Ucrania mantiene su lucha en Bajmut donde Rusia proclama pequeños avances,EFE,Mundo,https://www.noticel.com/mundo/20230305/ucrania-mantiene-su-lucha-en-bajmut-donde-rusia-proclama-pequenos-avances/
2023-03-05,"Turquía eleva a 46,000 los fallecidos por terremoto de febrero ante dudas de médicos",EFE,Mundo,https://www.noticel.com/mundo/20230305/turquia-eleva-a-46000-los-fallecidos-por-terremoto-de-febrero-ante-dudas-de-medicos/
2023-03-05,Bolsonaro avisa que su misión en Brasil no ha terminado,EFE,Mundo,https://www.noticel.com/mundo/top-stories/20230305/bolsonaro-avisa-que-su-mision-en-brasil-no-ha-terminado/
2023-03-04,Cientos de niñas son envenenadas en colegios de Irán,EFE,Mundo,https://www.noticel.com/mundo/top-stories/20230304/cientos-de-ninas-son-envenenadas-en-colegios-de-iran/
2023-03-04,"Los ""hipopótamos de la droga"" podrían ser trasladados de Colombia",EFE,Mundo,https://www.noticel.com/mundo/20230304/los-hipopotamos-de-la-droga-podrian-ser-trasladados-de-colombia/
2023-03-04,El convicto Bannon convierte la Conferencia de Acción Política Conservadora en el foro de Trump,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/top-stories/20230304/el-convicto-bannon-convierte-la-conferencia-de-accion-politica-conservadora-en-el-foro-de-trump/
2023-03-03,Nicaragua dará libertad condicional a 230 presas en el Día de la Mujer,EFE,Mundo,https://www.noticel.com/mundo/20230303/nicaragua-dara-libertad-condicional-a-230-presas-en-el-dia-de-la-mujer/
2023-03-03,Los escándalos salpican una deslucida conferencia de la derecha estadounidense ,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230303/los-escandalos-salpican-una-deslucida-conferencia-de-la-derecha-estadounidense/
2023-03-03,Conmemorarán el décimo aniversario de la muerte de Chávez ,EFE,Mundo,https://www.noticel.com/mundo/20230303/conmemoraran-el-decimo-aniversario-de-la-muerte-de-chavez/
2023-03-03,Biden fue operado de un carcinoma el 16 de febrero,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/top-stories/20230303/biden-fue-operado-de-un-carcinoma-el-16-de-febrero/
2023-03-03,"La familia Trump moviliza a las bases republicanas: ""Voten con la cartera""",EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230303/la-familia-trump-moviliza-a-las-bases-republicanas-voten-con-la-cartera/
2023-03-03,Estados Unidos aprueba otro paquete de $400 millones para Ucrania,EFE,Mundo,https://www.noticel.com/mundo/20230303/estados-unidos-aprueba-otro-paquete-de-400-millones-para-ucrania/
2023-03-03,"Autoridades dicen que pesquisa por amenaza a Messi tendrá resultados en los ""próximos días""",EFE,Mundo,https://www.noticel.com/deportes/mundo/20230303/autoridades-dicen-que-pesquisa-por-amenaza-a-messi-tendra-resultados-en-los-proximos-dias/
2023-03-03,"Todas las variantes de gripe aviar tienen potencial pandémico, advierte la OMS",EFE,Mundo,https://www.noticel.com/mundo/20230303/todas-las-variantes-de-gripe-aviar-tienen-potencial-pandemico-advierte-la-oms/
2023-03-03,Estudio en Latinoamérica revela los impactos del consumo de bebidas azucaradas,EFE,Mundo,https://www.noticel.com/mundo/20230303/estudio-en-latinoamerica-revela-los-impactos-del-consumo-de-bebidas-azucaradas/
2023-03-02,El diario La Prensa de Nicaragua cumple 97 años en la situación más dura de su historia,EFE,Mundo,https://www.noticel.com/mundo/20230302/el-diario-la-prensa-de-nicaragua-cumple-97-anos-en-la-situacion-mas-dura-de-su-historia/
2023-03-02,Comité del Congreso investiga al republicano George Santos,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230302/comite-del-congreso-investiga-al-republicano-george-santos/
2023-03-02,"Biden pide a los demócratas no conformarse: ""Queda mucho trabajo pendiente""",EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230302/biden-pide-a-los-democratas-no-conformarse-queda-mucho-trabajo-pendiente/
2023-03-02,"La derecha cierra filas en torno a Trump en su ""Woodstock"" republicano",EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230302/la-derecha-cierra-filas-en-torno-a-trump-en-su-woodstock-republicano/
2023-03-02,Departamento de Justicia: Trump puede ser demandado por el asalto al Congreso,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230302/departamento-de-justicia-trump-puede-ser-demandado-por-el-asalto-al-congreso/
2023-03-02,Estados Unidos le recuerda a Bukele que hay que respetar los derechos humanos,EFE,Mundo,https://www.noticel.com/mundo/20230302/estados-unidos-le-recuerda-a-bukele-que-hay-que-respetar-los-derechos-humanos/
2023-03-02,Incendio forestal en Cuba acaba con cafetales y bosques de pino,EFE,Mundo,https://www.noticel.com/mundo/20230302/incendio-forestal-en-cuba-acaba-con-cafetales-y-bosques-de-pino/
2023-03-02,Reunión del G20 no logra acuerdo sobre invasión a Ucrania,EFE,Mundo,https://www.noticel.com/mundo/20230302/reunion-del-g20-no-logra-acuerdo-sobre-invasion-a-ucrania/
2023-03-01,"Estados Unidos dispara contra la ""droga zombie""",EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230301/estados-unidos-dispara-contra-la-droga-zombie/
2023-03-01,Las compañías de entregas sacrifican la seguridad por rapidez y competencia,EFE,Mundo,https://www.noticel.com/estados-unidos/mundo/20230301/las-companias-de-entregas-sacrifican-la-seguridad-por-rapidez-y-competencia/
