fecha,titulo,enlace,autor
2023-03-08 00:00:00,Los Cangrejeros confirman a Nathan Peavy como su nuevo dirigente,http://www.primerahora.com/deportes/baloncesto/notas/los-cangrejeros-confirman-a-nathan-peavy-como-su-nuevo-dirigente/,Primera Hora
2023-03-08 00:00:00,"En suspenso la carrera de la más excitante joven estrella de la NBA, Ja Morant",http://www.primerahora.com/deportes/baloncesto/notas/en-suspenso-la-carrera-de-la-mas-excitante-joven-estrella-de-la-nba-ja-morant/,The Associated Press
2023-03-08 00:00:00,Pau Gasol se emociona con la retirada de su número con los Lakers,http://www.primerahora.com/deportes/baloncesto/notas/pau-gasol-se-emociona-con-la-retirada-de-su-numero-con-los-lakers/,The Associated Press
2023-03-08 00:00:00,Los Hornets pararon en seco a los Knicks en el Garden,http://www.primerahora.com/deportes/baloncesto/notas/los-hornets-pararon-en-seco-a-los-knicks-en-el-garden/,The Associated Press
2023-03-08 00:00:00,Hatillo e Isabela ingresan al Baloncesto Superior Femenino,http://www.primerahora.com/deportes/baloncesto/notas/hatillo-e-isabela-ingresan-al-baloncesto-superior-femenino/,Primera Hora
2023-03-07 00:00:00,Johwen Villegas abraza su segunda gira con los Vaqueros,http://www.primerahora.com/deportes/baloncesto/notas/johwen-villegas-abraza-su-segunda-gira-con-los-vaqueros/,Carlos González
2023-03-07 00:00:00,Los Vaqueros van detrás de firmar su segunda dinastía,http://www.primerahora.com/deportes/baloncesto/notas/los-vaqueros-van-detras-de-firmar-su-segunda-dinastia/,Carlos González
2023-03-06 00:00:00,Victoria de los Lakers sobre Warriors con 39 puntos de Anthony Davis,http://www.primerahora.com/deportes/baloncesto/notas/victoria-de-los-lakers-sobre-warriors-con-39-puntos-de-anthony-davis/,The Associated Press
2023-03-05 00:00:00,Durant rompe empate y da victoria a Suns sobre Mavericks,http://www.primerahora.com/deportes/baloncesto/notas/durant-rompe-empate-y-da-victoria-a-suns-sobre-mavericks/,The Associated Press
2023-03-05 00:00:00,Indios y Grises llevan el mambo del BSN a la zona de Kissimmee,http://www.primerahora.com/deportes/baloncesto/notas/indios-y-grises-llevan-el-mambo-del-bsn-a-la-zona-de-kissimmee/,Joel Ortiz Rivera
2023-03-05 00:00:00,Los Cavaliers pasearon a los Pistons de Detroit,http://www.primerahora.com/deportes/baloncesto/notas/los-cavaliers-pasearon-a-los-pistons-de-detroit/,The Associated Press
2023-03-04 00:00:00,Ja Morant estará fuera mientras la NBA le investiga,http://www.primerahora.com/deportes/baloncesto/notas/ja-morant-estara-fuera-mientras-la-nba-le-investiga/,The Associated Press
2023-03-04 00:00:00,Kevin Durant y Devin Booker se combinaron en el triunfo de los Suns ante Chicago,http://www.primerahora.com/deportes/baloncesto/notas/kevin-durant-y-devin-booker-se-combinaron-en-el-triunfo-de-los-suns-ante-chicago/,Agencia EFE
2023-03-04 00:00:00,Atlanta regresa a la senda del triunfo en el debut de Quin Snyder,http://www.primerahora.com/deportes/baloncesto/notas/atlanta-regresa-a-la-senda-del-triunfo-en-el-debut-de-quin-snyder/,The Associated Press
2023-03-03 00:00:00,Jonathan Isaac sufre otra lesión que le pone fin a su temporada en la NBA,http://www.primerahora.com/deportes/baloncesto/notas/jonathan-isaac-sufre-otra-lesion-que-le-pone-fin-a-su-temporada-en-la-nba/,Primera Hora
2023-03-03 00:00:00,En fuego Luka Doncic y Kyrie Irving ante los Sixers,http://www.primerahora.com/deportes/baloncesto/notas/en-fuego-luka-doncic-y-kyrie-irving-ante-los-sixers/,The Associated Press
2023-03-03 00:00:00,Los Lakers pierden a LeBron James por las próximas tres semanas,http://www.primerahora.com/deportes/baloncesto/notas/los-lakers-pierden-a-lebron-james-por-las-proximas-tres-semanas/,The Associated Press
2023-03-02 00:00:00,Yum Ramos es reelecto para un nuevo término frente a la Federación de Baloncesto,http://www.primerahora.com/deportes/baloncesto/notas/yum-ramos-es-reelecto-para-un-nuevo-termino-frente-a-la-federacion-de-baloncesto/,Primera Hora
2023-03-02 00:00:00,Lionel Messi recibe mensaje amenazador en su ciudad en Rosario,http://www.primerahora.com/deportes/baloncesto/notas/lionel-messi-recibe-mensaje-amenazador-en-su-ciudad-en-rosario/,The Associated Press
2023-03-02 00:00:00,Kevin Durant se estrenó con los Suns marcando 23 puntos,http://www.primerahora.com/deportes/baloncesto/notas/kevin-durant-se-estreno-con-los-suns-marcando-23-puntos/,The Associated Press
2023-03-02 00:00:00,Acusan a Ja Morant de amenazar con una pistola a un chico de 17 años ,http://www.primerahora.com/deportes/baloncesto/notas/acusan-a-ja-morant-de-amenazar-con-una-pistola-a-un-chico-de-17-anos/,Agencia EFE
2023-03-01 00:00:00,Mayagüez se está amolando para no repetir el inicio del 2022 ,http://www.primerahora.com/deportes/baloncesto/notas/mayaguez-se-esta-amolando-para-no-repetir-el-inicio-del-2022/,Joel Ortiz Rivera
2023-02-28 00:00:00,Toronto liberó a Juancho Hernangómez para traer a Will Barton,http://www.primerahora.com/deportes/baloncesto/notas/toronto-libero-a-juancho-hernangomez-para-traer-a-will-barton/,The Associated Press
2023-02-28 00:00:00,Kevin Durant pudiera debutar con los Suns este miércoles,http://www.primerahora.com/deportes/baloncesto/notas/kevin-durant-pudiera-debutar-con-los-suns-este-miercoles/,The Associated Press
2023-02-28 00:00:00,Los emergentes Knicks derriban a los Celtics del primer puesto en la NBA,http://www.primerahora.com/deportes/baloncesto/notas/los-emergentes-knicks-derriban-a-los-celtics-del-primer-puesto-en-la-nba/,The Associated Press
2023-02-28 00:00:00,Conéctate a Filtro 360,http://www.primerahora.com/deportes/baloncesto/notas/la-nba-no-es-la-misma-sin-el-profe-conectate-hoy-a-filtro-360/,Primera Hora
