fecha,titulo,autor,categoria,enlace
2023-03-08,Gran potencial para Puerto Rico en producción de hidrógeno para energía y otras aplicaciones,Osman Pérez Méndez,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/gran-potencial-para-puerto-rico-en-produccion-de-hidrogeno-para-energia-y-otras-aplicaciones/
2023-03-08,Se solicitan donantes de plaquetas para paciente de leucemia,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/se-solicitan-donantes-de-plaquetas-para-paciente-de-leucemia/
2023-03-08,Gobierno Biden considera ahora detener a familias migrantes,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/gobierno-biden-considera-ahora-detener-a-familias-migrantes/
2023-03-07,Identifican joven asesinado dentro de guagua en Canóvanas,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/identifican-joven-asesinado-dentro-de-guagua-en-canovanas/
2023-03-07,Wanda Vázquez pagará a plazos la multa que recibió por irregularidades en su campaña primarista,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/wanda-vazquez-pagara-a-plazos-la-multa-que-recibio-por-irregularidades-en-su-campana-primarista/
2023-03-07,Cámara de Representantes rinde homenaje a Bobby Cruz,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/camara-de-representantes-rinde-homenaje-a-bobby-cruz/
2023-03-07,Aprueban medida para que sobrevivientes tengan acceso al status de “kits” de agresión sexual,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/aprueban-medida-para-que-sobrevivientes-tengan-acceso-al-status-de-kits-de-agresion-sexual/
2023-03-07,Investigan a estudiante armado en escuela de San Juan,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/investigan-a-estudiante-armado-en-escuela-de-san-juan/
2023-03-07,A prisión por 40 años tras abusar de su hijastra con autismo,Maribel Hernández Pérez,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/a-prision-por-40-anos-tras-abusar-de-su-hijastra-con-autismo/
2023-03-07,Investigan muerte de mujer de 36 años en Río Grande,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/investigan-muerte-de-mujer-de-36-anos-en-rio-grande/
2023-03-07,Destacarán a los jóvenes empresarios puertorriqueños,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/destacaran-a-los-jovenes-empresarios-puertorriquenos/
2023-03-07,Acusan a “Flaco Trenzas” de intentar atropellar a dos policías en Santurce,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/acusan-a-flaco-trenzas-de-intentar-atropellar-a-dos-policias-en-santurce/
2023-03-07,Investigan “carjacking” y asalto en Vega Baja ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/investigan-carjacking-y-asalto-en-vega-baja/
2023-03-07,Acusan octogenario por abandonar cachorro dentro de un saco ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/octogenario-seria-acusado-por-abandonar-cachorro-dentro-de-un-saco/
2023-03-07,Posponen radicación de cargos a guardia de seguridad por disparar a manifestante en Aguadilla,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/posponen-radicacion-de-cargos-a-guardia-de-seguridad-por-disparar-a-manifestante-en-aguadilla/
2023-03-07,Arrestan cuarteto por apropiación de mercancía de una tienda y le ocupan un arma,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/arrestan-cuarteto-por-apropiacion-de-mercancia-de-una-tienda-y-le-ocupan-un-arma/
2023-03-07,Wanda Vázquez reclama un juicio rápido ,Frances Rosario,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/wanda-vazquez-reclama-un-juicio-rapido/
2023-03-07,Radican nuevamente la reforma laboral en la Cámara,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/radican-nuevamente-la-reforma-laboral-en-la-camara/
2023-03-07,Asociación de Alcaldes cuestiona efectividad del plan anticrimen ,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/asociacion-de-alcaldes-cuestiona-efectividad-del-plan-anticrimen/
2023-03-07,Gobernador nombra nuevo director de la Administración de Asuntos Federales,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/gobernador-nombra-nuevo-director-de-la-administracion-de-asuntos-federales/
2023-03-07,Arrestan a “Mota” y a cuatro secuaces por drogas y armas ilegales,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/arrestan-a-mota-y-a-cuatro-secuaces-por-drogas-y-armas-ilegales/
2023-03-07,Muere niño de dos años olvidado en un auto en Florida un día récord de calor ,Primera Hora,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/muere-nino-de-dos-anos-olvidado-en-un-auto-en-florida-un-dia-record-de-calor/
2023-03-07,McClellan será la primera mujer negra que representa a Virginia,Primera Hora,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/mcclellan-sera-la-primera-mujer-negra-que-representa-a-virginia/
2023-03-07,Autoridades trasladan a Estados Unidos a ciudadanos liberados tras secuestro en México,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/autoridades-trasladan-a-estados-unidos-a-ciudadanos-liberados-tras-secuestro-en-mexico/
2023-03-07,Estados Unidos en alerta ante un eventual aumento de ciberataques rusos ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/estados-unidos-en-alerta-ante-un-eventual-aumento-de-ciberataques-rusos/
2023-03-07,Estados Unidos detiene la compra de la aerolínea Spirit por JetBlue con una demanda,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/estados-unidos-detiene-la-compra-de-la-aerolinea-spirit-por-jetblue-con-una-demanda/
2023-03-07,Nicaragua cancela otras dos universidades privadas y ordena decomisar bienes ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/nicaragua-cancela-otras-dos-universidades-privadas-y-ordena-decomisar-bienes/
2023-03-07,Estados Unidos pide detención del expresidente peruano Alejandro Toledo,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/estados-unidos-pide-detencion-del-expresidente-peruano-alejandro-toledo/
2023-03-07,Autoridades turísticas del Caribe predicen un aumento de visitantes para 2023,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/autoridades-turisticas-del-caribe-predicen-un-aumento-de-visitantes-para-2023/
2023-03-07,Explosión en edificio de Bangladesh deja 17 muertos,The Associated Press,Mundo,http://www.primerahora.com/noticias/mundo/notas/explosion-en-edificio-de-bangladesh-deja-17-muertos/
2023-03-07,Con vida dos de los estadounidenses secuestrados en México,The Associated Press,Mundo,http://www.primerahora.com/noticias/mundo/notas/con-vida-dos-de-los-estadounidenses-secuestrados-en-mexico/
2023-03-07,Terremoto de magnitud 6 sacude Filipinas ,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/terremoto-de-magnitud-6-sacude-filipinas/
2023-03-07,¿Es TikTok menos segura que otras redes sociales? ,Agencia EFE,Ciencia-Tecnologia,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/es-tiktok-menos-segura-que-otras-redes-sociales/
2023-03-07,Falla el primer lanzamiento del cohete nipón H3,Agencia EFE,Ciencia-Tecnologia,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/falla-el-primer-lanzamiento-del-cohete-nipon-h3/
2023-03-07,Buscan dúo por apropiarse de perfumes de una farmacia en Arroyo,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/buscan-duo-por-apropiarse-de-perfumes-de-una-farmacia-en-arroyo/
2023-03-07,Retiran del mercado dos marcas de gotas oftálmicas,Primera Hora,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/retiran-del-mercado-dos-marcas-de-gotas-oftalmicas/
2023-03-07,Investigan agresión en los predios de club nocturno en Santurce ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/investigan-agresion-en-los-predios-de-club-nocturno-en-santurce/
2023-03-07,Pesa más la soledad para nuestros adultos mayores,Frances Rosario,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/pesa-mas-la-soledad-para-nuestros-adultos-mayores/
2023-03-07,Silenciosa llegada de condiciones cardiovasculares  a través de la tiroides,Osman Pérez Méndez,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/silenciosa-llegada-de-condiciones-cardiovasculares-a-traves-de-la-tiroides/
2023-03-07,Nuevo tropiezo dilata la entrada de agencias a la Ciudad Deportiva Roberto Clemente,Osman Pérez Méndez,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/nuevo-tropiezo-dilata-la-entrada-de-agencias-a-la-ciudad-deportiva-roberto-clemente/
2023-03-07,Mujer es estafada en aplicación que adivina números ganadores de Pega 3 y 4,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/mujer-es-estafada-en-aplicacion-que-adivina-numeros-ganadores-de-pega-3-y-4/
2023-03-07,Capturan mono que merodeaba por el casco urbano de Bayamón,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/capturan-mono-que-merodeaba-por-el-casco-urbano-de-bayamon/
2023-03-07,Simulacro de tsunami contemplará erupción de volcán en Martinica,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/simulacro-de-tsunami-contemplara-erupcion-de-volcan-en-martinica/
2023-03-07,Conmemorarán a las mujeres veteranas en Vega Alta,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/conmemoraran-a-las-mujeres-veteranas-en-vega-alta/
2023-03-07,Nuestros viejos cuentan con menos $300 para afrontar alguna emergencia ,Frances Rosario,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/nuestros-viejos-cuentan-con-menos-300-para-afrontar-alguna-emergencia/
2023-03-07,Libre bajo fianza pintor acusado por escalamiento agravado ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/libre-bajo-fianza-pintor-acusado-por-escalamiento-agravado/
2023-03-07,Arrestan a sospechoso de asesinar a estudiante de artes culinarias en Canóvanas ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/arrestan-a-sospechoso-de-asesinar-a-estudiante-de-artes-culinarias-en-canovanas/
2023-03-07,Encuentran cadáver flotando en playa en Manatí,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/encuentran-cadaver-flotando-en-playa-en-manati/
2023-03-06,Secuestran a cuatro estadounidenses en México ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/secuestran-a-cuatro-estadounidenses-en-mexico/
2023-03-06,Mueren dos personas al estrellarse avioneta al norte de Miami,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/mueren-dos-personas-al-estrellarse-avioneta-al-norte-de-miami/
2023-03-06,Un muerto y 9 heridos en estampida en concierto en Nueva York,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/un-muerto-y-9-heridos-en-estampida-en-concierto-en-nueva-york/
