fecha,titulo,autor(a),categoria,enlace
2023-03-07,Mujer... te celebro,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/mujer-te-celebro/
2023-03-06,Discrimen “Pink”,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/discrimen-pink/
2023-03-06,Añade alegría,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/notas/anade-alegria/
2023-03-02,Réquiem por el bipartidismo,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/requiem-por-el-bipartidismo/
2023-03-01,"Mundi, te pido disculpas",El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/mundi-te-pido-disculpas/
2023-03-01,La cocina está caliente,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/la-cocina-esta-caliente/
2023-02-28,El valor de nuestros maestros,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/el-valor-de-nuestros-maestros/
2023-02-27,Derecho a decir basta,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/derecho-a-decir-basta/
2023-02-27,Mágico silencio,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/magico-silencio/
2023-02-23,Lupa necesaria sobre la depresión posparto,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/lupa-necesaria-sobre-la-depresion-posparto/
2023-02-22,Dejarlas chavar no es la opción,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/dejarlas-chavar-no-es-la-opcion/
2023-02-21,Relaciones tóxicas,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/relaciones-toxicas/
2023-02-20,El espejo de Turquía,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/el-espejo-de-turquia/
2023-02-20,Mejor en silencio,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/mejor-en-silencio/
2023-02-16,Demagogia tributaria,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/demagogia-tributaria/
2023-02-15,Gobierno toca con guitarra y el pueblo con violín,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/gobierno-toca-con-guitarra-y-el-pueblo-con-violin/
2023-02-14,El amor y San Valentín,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/el-amor-y-san-valentin/
2023-02-13,La gracia del arrepentimiento,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/la-gracia-del-arrepentimiento/
2023-02-13,La Reforma que no es Reforma,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/la-reforma-que-no-es-reforma/
2023-02-09,Payoleo y persecución,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/payoleo-y-persecucion/
2023-02-08,Lo que desnudó Sixto,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/lo-que-desnudo-sixto/
2023-02-07,El puño de Amanda Serrano,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/columnas/el-puno-de-amanda-serrano/
2023-02-06,En el piso de mi cuarto,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/en-el-piso-de-mi-cuarto/
2023-02-06,La subdivisión en la división,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/la-subdivision-en-la-division/
2023-02-03,Somos Generación X,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/somos-generacion-x/
2023-02-02,Democracia económica y cooperativismo,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/democracia-economica-y-cooperativismo/
2023-02-02,La transformación del liderazgo educativo,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/la-transformacion-del-liderazgo-educativo/
2023-02-01,Puerto Rico tiene su monarquía,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/puerto-rico-tiene-su-monarquia/
2023-01-31,"El descomunal, insoportable y desesperante tapón por el cierre del Atirantado",El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/el-descomunal-insoportable-y-desesperante-tapon-por-el-cierre-del-atirantado/
2023-01-31,“Los Mecánicos” y su legado,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/los-mecanicos-y-su-legado/
2023-01-30,Popcorn en mano,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/popcorn-en-mano/
2023-01-30,Tus emociones importan,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/tus-emociones-importan/
2023-01-26,Tiemblan como hoja seca al viento,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/lideres-pnp-y-ppd-son-una-hoja-seca/
2023-01-25,Hablemos de dos descarados,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/hablemos-de-dos-descarados/
2023-01-24,Salas de emergencias en crisis,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/columnas/salas-de-emergencias-en-crisis/
2023-01-23,El año del caimán,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/el-ano-del-caiman/
2023-01-23,¡Que viva el lunes!,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/que-viva-el-lunes/
2023-01-23,La gracia de fluir ,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/notas/la-gracia-de-fluir/
2023-01-19,Gemelos separados al nacer,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/gemelos-separados-al-nacer/
2023-01-18,40 años de la ausencia de Luis Vigoreaux,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/40-anos-de-la-ausencia-de-luis-vigoreaux/
2023-01-17,"Cariño, cariño y más cariño ",Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/columnas/carino-carino-y-mas-carino/
2023-01-16,Un sábado en el cuartel ,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/un-sabado-en-el-cuartel/
2023-01-16,El tiempo de los zoológicos pasó,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/el-tiempo-de-los-zoologicos-paso/
2023-01-12,No todo lo que brilla es oro,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/no-todo-lo-que-brilla-es-oro/
2023-01-11,¿Y la nieve?,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/y-la-nieve/
2023-01-10,"El efecto de no portarte bonito, Bad Bunny",Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/el-efecto-de-no-portarte-bonito-bad-bunny/
2023-01-09,Un 2023 de felicidad real,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/un-2023-de-felicidad-real/
2023-01-09,"Papelón, versión congresional",Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/papelon-version-congresional/
2023-01-05,Promesa de Reyes ,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/promesa-de-reyes/
2023-01-04,Viajar es... ¿un placer?,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/viajar-es-un-placer/
2023-01-03,Abrazando el 2023,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/abrazando-el-2023/
2023-01-02,Resolución de Año Nuevo,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/resolucion-de-ano-nuevo/
2022-12-29,En el nuevo año,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/en-el-nuevo-ano/
2022-12-28,Los tres de Pierluisi y no son magos,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/los-tres-de-pierluisi-y-no-son-magos/
2022-12-27,Honor a quien honor merece: Nino Correa,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/honor-a-quien-honor-merece-nino-correa/
2022-12-26,12 meses para ser,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/12-meses-para-ser/
2022-12-26,Un poco de consideración,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/un-poco-de-consideracion/
2022-12-22,Momento de Natividad,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/momento-de-natividad/
2022-12-21,Los 5 pelotazos que nos deja el 2022,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/los-5-pelotazos-que-nos-deja-el-2022/
2022-12-20,Todos somos Argentina,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/todos-somos-argentina/
2022-12-19,La palabra del mes: volumétrico,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/notas/la-palabra-del-mes-volumetrico/
2022-12-15,Ante los aguajeros,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/ante-los-aguajeros/
2022-12-14,La isla de la desigualdad,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/la-isla-de-la-desigualdad/
2022-12-13,Los numeritos de “Georgie” Navarro,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/los-numeritos-de-georgie-navarro/
2022-12-12,Hora de preocuparnos  ,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/hora-de-preocuparnos/
2022-12-12,Tu poder de elección,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/tu-poder-de-eleccion/
2022-12-08,¡Debería darnos vergüenza! ,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/deberia-darnos-verguenza/
2022-12-07,Quiz de medio año,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/quiz-de-medio-ano/
2022-12-06,El mejor regalo de Navidad,Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/columnas/el-mejor-regalo-de-navidad/
2022-12-05,Celebrar con propósito,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/celebrar-con-proposito/
2022-12-05,Con los chavos de otro,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/con-los-chavos-de-otro/
2022-12-01,Las lluvias que trajeron estos lodos,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/las-lluvias-que-trajeron-estos-lodos/
2022-11-30,Mi primer amor cumple 100 años ,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/mi-primer-amor-cumple-100-anos/
2022-11-29,"Pide ayuda, que te queremos viva",Norwill Fragoso,Opinion,http://www.primerahora.com/opinion/norwill-fragoso/notas/pide-ayuda-que-te-queremos-viva/
2022-11-28,Niños huérfanos de padres vivos,Celimar Adames Casalduc,Opinion,http://www.primerahora.com/opinion/celimar-adames-casalduc/columnas/ninos-huerfanos-de-padres-vivos/
2022-11-28,"¿Decisiones, incertidumbre o miedo?",Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/decisiones-incertidumbre-o-miedo/
2022-11-24,Juntos todos,Juan Dalmau,Opinion,http://www.primerahora.com/opinion/juan-dalmau/columnas/juntos-todos/
2022-11-23,De Pacheco a Cocomelon...,Normando Valentin,Opinion,http://www.primerahora.com/opinion/normando-valentin/columnas/de-pacheco-a-cocomelon/
2022-11-21,¿Gracias por qué y para qué?,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/gracias-por-que-y-para-que/
2022-11-14,Decir o no decir,Tayna Rivera Llavona,Opinion,http://www.primerahora.com/opinion/tayna-rivera-llavona/columnas/decir-o-no-decir/
2022-11-11,Por un PPD de más inclusión y con sus causas a defender bien claras,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/por-un-ppd-de-mas-inclusion-y-con-sus-causas-a-defender-bien-claras/
2022-10-27,Desempeño académico y ansiedad a las matemáticas,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/desempeno-academico-y-ansiedad-a-las-matematicas/
2022-09-23,Vital el trabajo comunitario en la preparación y respuesta ante desastres,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/vital-el-trabajo-comunitario-en-la-preparacion-y-respuesta-ante-desastres/
2022-09-12,El Dr. José Quiles Rosa se ponchó con las bases llenas,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/el-dr-jose-quiles-rosa-se-poncho-con-las-bases-llenas/
2022-08-09,Más conciencia a la hora de guiar,El Desahogo,Opinion,http://www.primerahora.com/opinion/el-desahogo/columnas/mas-conciencia-a-la-hora-de-guiar/
