fecha,titulo,autor,categoria,enlace
2023-03-02,DTOP informa cierre de cuatro Estaciones Oficiales de Inspección,CyberNews,Agencias,https://www.elvocero.com/gobierno/agencias/dtop-informa-cierre-de-cuatro-estaciones-oficiales-de-inspecci-n/article_41238124-b943-11ed-8dad-f3382246284d.html
2023-03-02,Anuncian adelantos en los trabajos en la PR-143 en Orocovis,Redacción ,Agencias,https://www.elvocero.com/gobierno/agencias/anuncian-adelantos-en-los-trabajos-en-la-pr-143-en-orocovis/article_f279c932-b926-11ed-80af-67ad785d0a0e.html
2023-03-02,Anuncia oportunidad de financiamiento federal para proyectos comunitarios,Redacción ,Agencias,https://www.elvocero.com/gobierno/agencias/anuncia-oportunidad-de-financiamiento-federal-para-proyectos-comunitarios/article_25f79f54-b91e-11ed-9136-cfde4a24485a.html
2023-03-02,Defiende la validez del contrato con Genera PR,Istra Pacheco ,Agencias,https://www.elvocero.com/gobierno/agencias/defiende-la-validez-del-contrato-con-genera-pr/article_915bb3e2-b89d-11ed-8b42-7fcd4ba4f138.html
2023-03-02,Proyecto del Normandie requiere ajustes,Istra Pacheco ,Agencias,https://www.elvocero.com/gobierno/agencias/proyecto-del-normandie-requiere-ajustes/article_5e868f06-b8a1-11ed-a6de-e750a46ba6c2.html
2023-03-02,Reclaman justicia para las mujeres,Peter Amador Istra Pacheco ,Agencias,https://www.elvocero.com/gobierno/agencias/reclaman-justicia-para-las-mujeres/article_1d26643a-b894-11ed-951c-df4855e938d2.html
2023-03-01,Anuncian cierre de carriles en Expreso Las Américas,CyberNews,Agencias,https://www.elvocero.com/gobierno/agencias/anuncian-cierre-de-carriles-en-expreso-las-am-ricas/article_180333be-b869-11ed-9cd8-b7f756cd5c7a.html
2023-03-01,Anuncian cierre temporal de puente en la PR-149 en Ciales,CyberNews,Agencias,https://www.elvocero.com/gobierno/agencias/anuncian-cierre-temporal-de-puente-en-la-pr-149-en-ciales/article_e82fb438-b844-11ed-a275-47da95aaae2d.html
2023-03-01,"“Nulo” el contrato de Genera, según informe de la comisión cameral de Energía",Istra Pacheco ,Agencias,https://www.elvocero.com/gobierno/agencias/nulo-el-contrato-de-genera-seg-n-informe-de-la-comisi-n-cameral-de-energ/article_43a7faaa-b7d2-11ed-bb90-bb7efd609760.html
2023-03-01,Miles de solicitudes activas para reconstrucción y reparación de viviendas,Yaritza Rivera Clemente ,Agencias,https://www.elvocero.com/gobierno/agencias/miles-de-solicitudes-activas-para-reconstrucci-n-y-reparaci-n-de-viviendas/article_f5db3098-b7c8-11ed-8250-531f91406632.html
