fecha,titulo,autor(a),categoria,enlace
2023-03-10,Reportan camión volcado en la PR-30,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/reportan-cami-n-volcado-en-la-pr-30/article_306b09ea-bf53-11ed-8669-c7daf4e4491b.html
2023-03-10,Orden de registro en residencia de Corozal culmina con un arrestado,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/orden-de-registro-en-residencia-de-corozal-culmina-con-un-arrestado/article_9542651c-bf39-11ed-8373-a76a96b599cd.html
2023-03-10,Defensa de Vázquez se distancia de la recaudación de dinero,Pedro Menéndez Sanabria,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/defensa-de-v-zquez-se-distancia-de-la-recaudaci-n-de-dinero/article_17c45ea8-bee2-11ed-8a32-8fb8e8b26199.html
2023-03-10,Mujer resulta herida de bala en Santurce,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/mujer-resulta-herida-de-bala-en-santurce/article_e88a204c-bf4e-11ed-872f-abb186903808.html
2023-03-10,Roban 20 cilindros de gas en Cidra,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/roban-20-cilindros-de-gas-en-cidra/article_f14db4ee-bf46-11ed-80fe-c38e65ebaae2.html
2023-03-10,Hombre va a pelearle al vecino con una pala y recibe un disparo en Fajardo,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/hombre-va-a-pelearle-al-vecino-con-una-pala-y-recibe-un-disparo-en-fajardo/article_f4405c46-bf47-11ed-9a13-5f35834975da.html
2023-03-10,Abogados de Pina esperan por informe enmendado,Pedro Menéndez Sanabria,Ley y Orden,https://www.elvocero.com/ley-y-orden/federal/abogados-de-pina-esperan-por-informe-enmendado/article_ce1a6e2c-bee2-11ed-a10c-07696acb9aa0.html
2023-03-09,"Someten cargos contra ""Tún Tún"" por otro asesinato",Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/someten-cargos-contra-t-n-t-n-por-otro-asesinato/article_ae849dc0-be9d-11ed-a40f-e7680307cff3.html
2023-03-09,No radicarán cargos contra hombre que disparó arma para espantar gallinas,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/no-radicar-n-cargos-contra-hombre-que-dispar-arma-para-espantar-gallinas/article_72061822-be6d-11ed-9aed-23d316fa5ecb.html
2023-03-09,Hombre herido tras balacera en Villalba fue víctima de dos atentados previos,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/hombre-herido-tras-balacera-en-villalba-fue-v-ctima-de-dos-atentados-previos/article_bb1a3672-be65-11ed-a998-7b5a1e879f3a.html
2023-03-09,Radican cargos contra mujer que presuntamente disparó a su expareja,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/radican-cargos-contra-mujer-que-presuntamente-dispar-a-su-expareja/article_c13b9fbc-be67-11ed-9dd8-c390b8ad3be3.html
2023-03-09,Un derrumbe deja a tres geólogos muertos en España,Renata Brito y Jennifer O'Mahony Associated Press,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/un-derrumbe-deja-a-tres-ge-logos-muertos-en-espa-a/article_30d52b8a-be9b-11ed-b54a-27f2ce7b16ea.html
2023-03-09,Imponen millonaria fianza a imputados de disparar contra agentes en Guayama,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/imponen-millonaria-fianza-a-imputados-de-disparar-contra-agentes-en-guayama/article_6b647770-be63-11ed-a589-07bd1c1c5cbd.html
2023-03-09,Radican cargos en ausencia contra presunto autor de asesinato en Gurabo,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/radican-cargos-en-ausencia-contra-presunto-autor-de-asesinato-en-gurabo/article_251ff8cc-be98-11ed-8ea2-8b88b65cbf67.html
2023-03-09,Muere otro confinado en la cárcel de Bayamón,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/muere-otro-confinado-en-la-c-rcel-de-bayam-n/article_6576c440-be76-11ed-8f7b-cb0f90aff3e8.html
2023-03-09,Radican cargos contra pareja por maltrato a menor en Carolina,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/radican-cargos-contra-pareja-por-maltrato-a-menor-en-carolina/article_3455acb4-beb7-11ed-b3aa-4f97195f890c.html
2023-03-09,Juez ordena a sobrino de Ricky Martin que evidencie puede representarse por derecho propio,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/juez-ordena-a-sobrino-de-ricky-martin-que-evidencie-puede-representarse-por-derecho-propio/article_aca8d89a-beac-11ed-8bde-a7a1055e5378.html
2023-03-09,Se reporta un doble asesinato en un residencial de Yauco,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/se-reporta-un-doble-asesinato-en-un-residencial-de-yauco/article_3c619dba-bebb-11ed-835a-bf2f7f414ae8.html
2023-03-09,"Randy ""Nota Loca"" tras desestimación de caso: ""Lo que quiero es seguir trabajando""",Josian E. Bruno Gómez Alejandra Jover,Ley y Orden,https://www.elvocero.com/ley-y-orden/randy-nota-loca-tras-desestimaci-n-de-caso-lo-que-quiero-es-seguir-trabajando/article_619dadfe-beba-11ed-9712-4fbe478c152b.html
2023-03-09,Arrestan a uno de ‘Los más buscados’ del área de San Juan,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-uno-de-los-m-s-buscados-del-rea-de-san-juan/article_26ffe4f8-bec6-11ed-a59e-cbaad766e8a1.html
2023-03-09,VÍDEO: Desestiman caso contra Randy “Nota Loca” por alegado incidente de violencia de género,Josian E. Bruno Gómez Alejandra Jover,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/v-deo-desestiman-caso-contra-randy-nota-loca-por-alegado-incidente-de-violencia-de-g/article_fb70c9e0-be72-11ed-8adf-077a0ecdb057.html
2023-03-09,Cae el sospechoso de más del 30% de los carjackings de este año,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/cae-el-sospechoso-de-m-s-del-30-de-los-carjackings-de-este-a-o/article_b497c38c-beab-11ed-9462-33ca48a95b46.html
2023-03-09,Mujer supuestamente acuchilla a hombre en interior de guagua pública en Santurce,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/mujer-supuestamente-acuchilla-a-hombre-en-interior-de-guagua-p-blica-en-santurce/article_752aa1a4-becb-11ed-bf2a-2ff7e6995426.html
2023-03-08,Sin esclarecer muertes de féminas en la Isla,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/sin-esclarecer-muertes-de-f-minas-en-la-isla/article_7753cd84-bd4a-11ed-af54-636416c069c3.html
2023-03-08,Escalan residencia en Salinas: Se llevaron hasta un juego de ollas,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/escalan-residencia-en-salinas-se-llevaron-hasta-un-juego-de-ollas/article_3389ed82-bd99-11ed-9649-831fceef64d6.html
2023-03-08,FBI diligencia orden de allanamiento en residencial en Cataño,Peter Amador Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/federal/fbi-diligencia-orden-de-allanamiento-en-residencial-en-cata-o/article_525a1f4e-bd9d-11ed-98f9-2712cee3ca3e.html
2023-03-08,Celivelys Rivera Santiago será entrevistada hoy por la Policía,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/celivelys-rivera-santiago-ser-entrevistada-hoy-por-la-polic-a/article_33ea2ddc-bda8-11ed-801b-17da303ee602.html
2023-03-08,Arrestan a hombre tras admitir que disparó arma para espantar gallinas,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-hombre-tras-admitir-que-dispar-arma-para-espantar-gallinas/article_79c2fc3e-bdcc-11ed-9de9-8f5fc202881c.html
2023-03-08,Arrestan a presunto autor de carjacking a maestra,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-presunto-autor-de-carjacking-a-maestra/article_80301d4e-bdaf-11ed-bffd-f77953760632.html
2023-03-08,Acuerdos entre gobierno y autoridades federales sobre manejo del zoológico de Mayagüez,Josian E. Bruno Gómez Istra Pacheco,Ley y Orden,https://www.elvocero.com/ley-y-orden/federal/acuerdos-entre-gobierno-y-autoridades-federales-sobre-manejo-del-zool-gico-de-mayag-ez/article_15edb732-bdbb-11ed-9626-03f7d172b4a5.html
2023-03-08,Reportan accidente con vehículo volcado en la PR-52,Nahira Montcourt  Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/reportan-accidente-con-veh-culo-volcado-en-la-pr-52/article_109a633a-bdab-11ed-b681-e34ecfed7277.html
2023-03-08,Sobrino de Ricky Martin busca representarse por derecho propio,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/sobrino-de-ricky-martin-busca-representarse-por-derecho-propio/article_0036f3c4-bdc8-11ed-b7d4-3732c50ad101.html
2023-03-08,"Radican cargos en ausencia contra ""Bubu"", el objetivo principal de masacre en Cataño",Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/radican-cargos-en-ausencia-contra-bubu-el-objetivo-principal-de-masacre-en-cata-o/article_519d77d4-bdc7-11ed-b7bf-13a3420ea183.html
2023-03-08,Muere joven que se accidentó en motora frente a su residencia en Juncos,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/muere-joven-que-se-accident-en-motora-frente-a-su-residencia-en-juncos/article_413f30a8-bd9f-11ed-a107-17ba413c42e3.html
2023-03-08,Arrestan a fugitivo acusado de asesinato en Río Piedras,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-fugitivo-acusado-de-asesinato-en-r-o-piedras/article_9490951e-bded-11ed-a7f4-635634972517.html
2023-03-08,Acusan a convicto federal sospechoso de asesinar a estudiante en Canóvanas,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/acusan-a-convicto-federal-sospechoso-de-asesinar-a-estudiante-en-can-vanas/article_8936d2a0-bded-11ed-a748-1f7240e2eef1.html
