fecha,titulo,autor,categoria,enlace
2023-03-08,Arrestan a hombre tras admitir que disparó arma para espantar gallinas,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-hombre-tras-admitir-que-dispar-arma-para-espantar-gallinas/article_79c2fc3e-bdcc-11ed-9de9-8f5fc202881c.html
2023-03-08,Arrestan a presunto autor de carjacking a maestra,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-presunto-autor-de-carjacking-a-maestra/article_80301d4e-bdaf-11ed-bffd-f77953760632.html
2023-03-08,Reportan accidente con vehículo volcado en la PR-52,Nahira Montcourt  Redacción ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/reportan-accidente-con-veh-culo-volcado-en-la-pr-52/article_109a633a-bdab-11ed-b681-e34ecfed7277.html
2023-03-08,Celivelys Rivera Santiago será entrevistada hoy por la Policía,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/celivelys-rivera-santiago-ser-entrevistada-hoy-por-la-polic-a/article_33ea2ddc-bda8-11ed-801b-17da303ee602.html
2023-03-08,Escalan residencia en Salinas: Se llevaron hasta un juego de ollas,Redacción ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/escalan-residencia-en-salinas-se-llevaron-hasta-un-juego-de-ollas/article_3389ed82-bd99-11ed-9649-831fceef64d6.html
2023-03-08,Sin esclarecer muertes de féminas en la Isla,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/sin-esclarecer-muertes-de-f-minas-en-la-isla/article_7753cd84-bd4a-11ed-af54-636416c069c3.html
2023-03-08,Muere joven que se accidentó en motora frente a su residencia en Juncos,Redacción ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/muere-joven-que-se-accident-en-motora-frente-a-su-residencia-en-juncos/article_413f30a8-bd9f-11ed-a107-17ba413c42e3.html
2023-03-07,Arrestan a hombre y a su madre de 72 años con relación a violento carjacking en Hatillo,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-hombre-y-a-su-madre-de-72-a-os-con-relaci-n-a/article_40d35152-bcf1-11ed-aed3-c78fa912b500.html
2023-03-07,Identifican a joven asesinado en Canóvanas,Carlos Rivera Giusti Redacción ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/identifican-a-joven-asesinado-en-can-vanas/article_b6ff3f3a-bcce-11ed-b225-a36329f6d639.html
2023-03-07,Investigan cuatro agresiones sexuales contra niñas,Miguel Rivera Puig ,Policiacas,https://www.elvocero.com/ley-y-orden/policiacas/investigan-cuatro-agresiones-sexuales-contra-ni-as/article_7b72327e-bcd3-11ed-97f5-ab8b1e9cf46a.html
