fecha,titulo,autor,categoria,enlace
2023-03-03,Decenas de los hipopótamos de Pablo Escobar podrían terminar en India y México para controlar su población,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/decenas-de-los-hipopotamos-de-pablo-escobar-podrian-terminar-en-india-y-mexico-para-controlar-su-poblacion/
2023-03-02,Familiares buscan a víctimas del choque de trenes en Grecia con muestras de ADN,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/familiares-buscan-a-victimas-del-choque-de-trenes-en-grecia-con-muestras-de-adn/
2023-03-02,Agencia de inteligencia británica desaprovechó oportunidad para detener atentado en concierto de Ariana Grande en Londres,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/agencia-de-inteligencia-britanica-desaprovecho-oportunidad-para-detener-atentado-en-concierto-de-ariana-grande-en-londres/
2023-03-02,"Cubanos podrán recibir hasta $2,000 diarios desde Estados Unidos a través de Western Union",Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/cubanos-podran-recibir-hasta-2000-diarios-desde-estados-unidos-a-traves-de-western-union/
2023-03-02,Estados Unidos aprueba nuevas ventas de armas a Taiwán,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/estados-unidos-aprueba-nuevas-ventas-de-armas-a-taiwan/
2023-03-02,Quiénes fueron los Illuminati y cómo una novela sentó las bases para las teorías de conspiración de hoy,Factchequeado y Rafael Olavarría,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/quienes-fueron-los-illuminati-y-como-una-novela-sento-las-bases-para-las-teorias-de-conspiracion-de-hoy/
2023-03-02,"El Nacional, el periódico venezolano acorralado por el régimen de Nicolás Maduro",El Tiempo / GDA,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/el-nacional-el-periodico-venezolano-acorralado-por-el-regimen-de-nicolas-maduro/
2023-03-02,China acusa a Estados Unidos de “alimentar las llamas de la guerra” en Ucrania,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/china-acusa-a-estados-unidos-de-alimentar-las-llamas-de-la-guerra-en-ucrania/
2023-03-02,“Nos han dejado totalmente solos”: hospital en Haití resiste en medio de guerras de pandillas,The Associated Press,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/nos-han-dejado-totalmente-solos-hospital-en-haiti-resiste-en-medio-de-guerras-de-pandillas/
2023-03-01,Corte Suprema panameña dice que el matrimonio entre personas del mismo sexo no es un derecho humano,Agencia EFE,Mundo,https://www.elnuevodia.com/noticias/mundo/notas/corte-suprema-panamena-dice-que-el-matrimonio-entre-personas-del-mismo-sexo-no-es-un-derecho-humano/
