fecha,titulo,autor,categoria,enlace
2023-03-02,“Es un paso bien importante en mi vida”: grupo de personas celebra obtener su ciudadanía americana en Puerto Rico,Adriana Díaz Tirado,Locales,https://www.elnuevodia.com/noticias/locales/notas/es-un-paso-bien-importante-en-mi-vida-grupo-de-personas-celebra-obtener-su-ciudadania-americana-en-puerto-rico/
2023-03-02,Narradores de la lucha LGBTQ+: “Queremos ser vistos como personas”,No autor,Locales,https://www.elnuevodia.com/noticias/locales/videos/narradores-de-la-lucha-lgbtq-queremos-ser-vistos-como-personas-281354/
2023-03-02,Fuerte regaño de jueza a Cosculluela: “¡Qué sea la primera y la última vez!”,No autor,Tribunales,https://www.elnuevodia.com/noticias/tribunales/videos/fuerte-regano-de-jueza-a-cosculluela-que-sea-la-primera-y-la-ultima-vez-281362/
2023-03-02,Causa para arresto contra miembros de organización que presuntamente se dedicaba a cometer asesinatos por contrato,ELNUEVODIA.COM,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/causa-para-arresto-contra-miembros-de-organizacion-que-presuntamente-se-dedicaba-a-cometer-asesinatos-por-contrato/
2023-03-02,Asesinan a tiros a un hombre en una urbanización en Cupey,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/asesinan-a-tiros-a-un-hombre-en-una-urbanizacion-en-cupey/
2023-03-02,"Una madre, su hijo de ocho años y el abuelo del menor sufren un “carjacking” en Camuy",Carlos Tolentino Rosario,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/una-madre-su-hijo-de-ocho-anos-y-el-abuelo-del-menor-sufren-un-carjacking-en-camuy/
2023-03-02,“The Pato Project” dará visibilidad a la historia de la comunidad LGBTQ+ en Puerto Rico,Adriana Díaz Tirado,Locales,https://www.elnuevodia.com/noticias/locales/notas/the-pato-project-dara-visibilidad-a-la-historia-de-la-comunidad-lgbtq-en-puerto-rico/
2023-03-02,Senado aprueba por segunda ocasión medida que prohíbe el discrimen laboral por tatuajes,Nydia Bauzá,Legislatura,https://www.elnuevodia.com/noticias/legislatura/notas/senado-aprueba-por-segunda-ocasion-medida-que-prohibe-el-discrimen-laboral-por-tatuajes/
2023-03-02,Comisión de lo Jurídico vuelve a citar a Wanda Vázquez para que comparezca a vista pública,Valeria María Torres Nieves,Legislatura,https://www.elnuevodia.com/noticias/legislatura/notas/comision-de-lo-juridico-vuelve-a-citar-a-wanda-vazquez-para-que-comparezca-a-vista-publica/
2023-03-02,Minimizan informe cameral que concluye que el contrato de Genera PR es “nulo”,Génesis Ibarra Vázquez,Gobierno,https://www.elnuevodia.com/noticias/gobierno/notas/minimizan-informe-cameral-que-concluye-que-el-contrato-de-genera-pr-es-nulo/
2023-03-02,Ante la Junta de Supervisión Fiscal las preocupaciones de los alcaldes respecto al Fondo de Equiparación,Gloria Ruiz Kuilan,Gobierno,https://www.elnuevodia.com/noticias/gobierno/notas/ante-la-junta-de-supervision-fiscal-las-preocupaciones-de-los-alcaldes-respecto-al-fondo-de-equiparacion/
2023-03-02,Populares convocan a su nueva Junta de Gobierno y anuncian segunda elección para lidiar con empate ,Gloria Ruiz Kuilan,Politica,https://www.elnuevodia.com/noticias/politica/notas/populares-convocan-a-su-nueva-junta-de-gobierno-y-anuncian-segunda-eleccion-para-lidiar-con-empate/
2023-03-02,¿Qué es The Pato Project? Al rescate de la historia LGBTQ+ en Puerto Rico,No autor,Locales,https://www.elnuevodia.com/noticias/locales/videos/que-es-the-pato-project-al-rescate-de-la-historia-lgbtq-en-puerto-rico-281353/
2023-03-02,Lo que se vio: imágenes aéreas del zoológico de Mayagüez tras cierre permanente,No autor,Locales,https://www.elnuevodia.com/noticias/locales/videos/lo-que-se-vio-imagenes-aereas-del-zoologico-de-mayaguez-tras-cierre-permanente-281367/
2023-03-02,Persiste la brecha salarial en municipios de la isla ,Leysa Caro González,Locales,https://www.elnuevodia.com/noticias/locales/notas/persiste-la-brecha-salarial-en-municipios-de-la-isla/
2023-03-02,Cierre del zoológico de Mayagüez: la reubicación de animales “no se puede trabajar con prisa” ,Keila López Alicea,Locales,https://www.elnuevodia.com/noticias/locales/notas/cierre-del-zoologico-de-mayaguez-la-reubicacion-de-animales-no-se-puede-trabajar-con-prisa/
2023-03-01,Investigan traumas sufridos por menor de dos meses de nacido en Gurabo,ELNUEVODIA.COM,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/investigan-traumas-sufridos-por-menor-de-dos-meses-de-nacido-en-gurabo/
2023-03-01,Ángel Pérez describe como “sumamente difícil” el proceso judicial que enfrenta a nivel federal,Alex Figueroa Cancel,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/angel-perez-describe-como-sumamente-dificil-el-proceso-judicial-que-enfrenta-a-nivel-federal/
2023-03-01,Jueza federal mantiene acusación contra Ángel Pérez,Alex Figueroa Cancel,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/jueza-federal-mantiene-acusacion-contra-angel-perez/
2023-03-01,Ángel Pérez rechaza la última oferta de fiscalía federal y va para juicio,Alex Figueroa Cancel,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/angel-perez-rechaza-la-ultima-oferta-de-fiscalia-federal-y-va-para-juicio/
2023-03-01,Causa para arresto contra hombre que chocó el automóvil de su expareja durante una discusión,ELNUEVODIA.COM,Tribunales,https://www.elnuevodia.com/noticias/tribunales/notas/causa-para-arresto-contra-hombre-que-choco-el-automovil-de-su-expareja-durante-una-discusion/
2023-03-01,Hombre huye en patrulla de la Policía tras dramática persecución,No autor,Seguridad,https://www.elnuevodia.com/noticias/seguridad/videos/hombre-huye-en-patrulla-de-la-policia-tras-dramatica-persecucion-281348/
2023-03-01,La Policía trabaja en identificar hasta a cinco posibles sospechosos de la masacre que cobró la vida de un menor en Cataño,Richard I. Colón Badillo,Seguridad,https://www.elnuevodia.com/noticias/seguridad/notas/la-policia-trabaja-en-identificar-hasta-a-cinco-posibles-sospechosos-de-la-masacre-que-cobro-la-vida-de-un-menor-en-catano/
