fecha,titulo,autor,enlace
2023-03-03,Muere persona ahogada en playa de Arecibo,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/muere-persona-ahogada-en-playa-de-arecibo/
2023-03-03,"Astronautas de Estados Unidos, Rusia y Emiratos llega a la estación espacial ",AP,https://www.metro.pr/noticias/2023/03/03/astronautas-de-estados-unidos-rusia-y-emiratos-llega-a-la-estacion-espacial/
2023-03-03,"Se tumban refrescos, platos y hasta el aceite de cocinar de negocio en Villalba ",Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/se-tumban-refrescos-platos-y-hasta-el-aceite-de-cocinar-de-negocio-en-villalba/
2023-03-03,Hallan auto quemado en Camuy reportado como robado en la zona de Bayamón ,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/hallan-auto-quemado-en-camuy-reportado-como-robado-en-la-zona-de-bayamon/
2023-03-03,Mujer se echa alcohol y se inmola en Vieques ,Cybernews,https://www.metro.pr/noticias/2023/03/03/mujer-se-echa-alcohol-y-se-inmola-en-vieques/
2023-03-03,Apelaciones determina que OPFEI no tiene jurisdicción en caso de compra de pruebas de COVID-19,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/apelaciones-determina-que-opfei-no-tiene-jurisdiccion-en-caso-de-compra-de-pruebas-de-covid-19/
2023-03-03,Se llevan $200 y un Jeep de taller en Río Grande,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/se-llevan-200-y-un-jeep-de-taller-en-rio-grande/
2023-03-03,Buscan a joven de 21 años reportado como desaparecido en Arecibo ,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/buscan-a-joven-de-21-anos-reportado-como-desaparecido-en-arecibo/
2023-03-03,"Sobre 2,400 casos de sobredosis se han registrado en la isla desde el 2019 ",Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/sobre-2400-casos-de-sobredosis-se-han-registrado-en-la-isla-desde-el-2019/
2023-03-03,Morovis inaugura su primer parque pasivo recreativo con acceso a personas con impedimentos,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/morovis-inaugura-su-primer-parque-pasivo-recreativo-con-acceso-a-personas-con-impedimentos/
2023-03-03,Se llevan el pony de una hacienda en Ponce ,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/se-llevan-el-pony-de-una-hacienda-en-ponce/
2023-03-03,Buscan a joven de 18 años desaparecido en Vega Alta,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/buscan-a-joven-de-18-anos-desaparecido-en-vega-alta/
2023-03-03,¡Escándalo en el PSG! Hakimi es acusado de presunta violación,AP,https://www.metro.pr/noticias/2023/03/03/fiscalia-francesa-acusa-a-hakimi-de-supuesta-violacion/
2023-03-03,Añejo restaurante resalta renacimiento arqueológico de Irak,AP,https://www.metro.pr/noticias/2023/03/03/anejo-restaurante-resalta-renacimiento-arqueologico-de-irak/
2023-03-03,Ecologistas protestan contra política de transporte alemana,AP,https://www.metro.pr/noticias/2023/03/03/ecologistas-protestan-contra-politica-de-transporte-alemana/
2023-03-03,Después de la lluvia y la nieve reciente algunas regiones de California están libres de sequía,María José González,https://www.metro.pr/noticias/2023/03/03/despues-de-la-lluvia-y-la-nieve-reciente-algunas-regiones-de-california-estan-libres-de-sequia/
2023-03-03,Representantes apoyan solicitud para que en P. R. se vote por presidente de EE. UU. ,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/representantes-apoyan-solicitud-para-que-en-p-r-se-vote-por-presidente-de-ee-uu/
2023-03-03,Condenan a Premio Nobel de la Paz a 10 años de cárcel en Bielorrusia,APRicardo Vázquez,https://www.metro.pr/noticias/2023/03/03/bielorrusia-sentencia-a-nobel-bialiatski-a-10-anos-de-carcel/
2023-03-03,Cadena perpetua a abogado convicto de matar a esposa e hijo,AP,https://www.metro.pr/noticias/2023/03/03/cadena-perpetua-a-abogado-convicto-de-matar-a-esposa-e-hijo/
2023-03-03,Muere persona en Florida por una ameba comecerebros,Adrialis Barrios,https://www.metro.pr/noticias/2023/03/03/muere-persona-en-florida-por-una-ameba-comecerebros/
2023-03-03,OMS insiste sobre el origen del Covid-19: “Todas las hipótesis siguen sobre la mesa”,Europa Press,https://www.metro.pr/noticias/2023/03/03/la-oms-insiste-sobre-el-origen-del-coronavirus-todas-las-hipotesis-siguen-sobre-la-mesa/
2023-03-03,Tiran al medio a maestra que se acostó con el padre de uno de sus estudiantes ,Publimetro México,https://www.metro.pr/noticias/2023/03/03/tiran-al-medio-a-maestra-que-se-acosto-con-el-padre-de-uno-de-sus-estudiantes/
2023-03-03,Lo que el juicio de Alex Murdaugh refleja de EEUU,AP,https://www.metro.pr/noticias/2023/03/03/lo-que-el-juicio-de-alex-murdaugh-refleja-de-eeuu/
2023-03-03,Cargos contra hombre por agarrar por cuello a su hijo de 10 años tras discusión por su conducta,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/cargos-contra-hombre-por-agarrar-por-cuello-a-su-hijo-de-10-anos-tras-discusion-por-su-conducta/
2023-03-03,Jenniffer González asegura que no duda de “las buenas intenciones” de Pierluisi como gobernador,Metro Puerto Rico,https://www.metro.pr/noticias/2023/03/03/jenniffer-gonzalez-asegura-que-no-duda-de-las-buenas-intenciones-de-pierluisi-como-gobernador/
