fecha,titulo,autor,categoria,enlace
2023-03-02,Vuelo de Spirit aterriza de emergencia por incendio,NotiCel,La-Calle,https://www.noticel.com/la-calle/20230302/vuelo-de-spirit-aterriza-de-emergencia-por-incendio/
2023-03-02,Estados Unidos le recuerda a Bukele que hay que respetar los derechos humanos,EFE,Mundo,https://www.noticel.com/mundo/20230302/estados-unidos-le-recuerda-a-bukele-que-hay-que-respetar-los-derechos-humanos/
2023-03-02,"Jenniffer González dice que está ""considerando seriamente"" la candidatura a la gobernación",CyberNews,Politica,https://www.noticel.com/politica/ahora/pnp/top-stories/20230302/jenniffer-gonzalez-dice-que-esta-considerando-seriamente-la-candidatura-a-la-gobernacion/
2023-03-02,PPD convoca reunión de nueva Junta de Gobierno y anuncia apertura de candidaturas,NotiCel,Ppd,https://www.noticel.com/ppd/politica/ahora/20230302/ppd-convoca-reunion-de-nueva-junta-de-gobierno-y-anuncia-apertura-de-candidaturas/
2023-03-02,Vuelven a distribuir alimentos locales a comedores escolares,Antonio Gómez/ Especial para NotiCel,Ahora,https://www.noticel.com/ahora/20230302/vuelven-a-distribuir-alimentos-locales-a-comedores-escolares/
2023-03-02,Policía encuentra carro robado mediante carjacking en residencial de Aguadilla,NotiCel,Policiacas,https://www.noticel.com/policiacas/la-calle/20230302/policia-encuentra-carro-robado-mediante-carjacking-en-residencial-de-aguadilla/
2023-03-02,"Denuncian aprobación de $375,000 en Guaynabo para transar demanda por acoso sexual de O'Neill",NotiCel,Ahora,https://www.noticel.com/ahora/top-stories/20230302/denuncian-aprobacion-de-375000-en-guaynabo-para-transar-demanda-por-acoso-sexual-de-oneill/
2023-03-02,Cámara radica medida de presupuesto para el próximo año fiscal,Naysha Zamira Padró,Legislatura,https://www.noticel.com/legislatura/ahora/20230302/camara-radica-medida-de-presupuesto-para-el-proximo-ano-fiscal/
2023-03-02,DTOP cierra cuatro estaciones de inspección por irregularidades con marbetes,NotiCel,Ahora,https://www.noticel.com/ahora/top-stories/20230302/dtop-cierra-cuatro-estaciones-de-inspeccion-por-irregularidades-con-marbetes/
2023-03-02,Incendio forestal en Cuba acaba con cafetales y bosques de pino,EFE,Mundo,https://www.noticel.com/mundo/20230302/incendio-forestal-en-cuba-acaba-con-cafetales-y-bosques-de-pino/
