fecha,titulo,enlace,autor
2023-03-02 00:00:00,Lionel Messi recibe mensaje amenazador en su ciudad en Rosario,http://www.primerahora.com/deportes/baloncesto/notas/lionel-messi-recibe-mensaje-amenazador-en-su-ciudad-en-rosario/,The Associated Press
2023-03-02 00:00:00,Kevin Durant se estrenó con los Suns marcando 23 puntos,http://www.primerahora.com/deportes/baloncesto/notas/kevin-durant-se-estreno-con-los-suns-marcando-23-puntos/,The Associated Press
2023-03-02 00:00:00,Acusan a Ja Morant de amenazar con una pistola a un chico de 17 años ,http://www.primerahora.com/deportes/baloncesto/notas/acusan-a-ja-morant-de-amenazar-con-una-pistola-a-un-chico-de-17-anos/,Agencia EFE
2023-03-01 00:00:00,Mayagüez se está amolando para no repetir el inicio del 2022 ,http://www.primerahora.com/deportes/baloncesto/notas/mayaguez-se-esta-amolando-para-no-repetir-el-inicio-del-2022/,Joel Ortiz Rivera
2023-02-28 00:00:00,Toronto liberó a Juancho Hernangómez para traer a Will Barton,http://www.primerahora.com/deportes/baloncesto/notas/toronto-libero-a-juancho-hernangomez-para-traer-a-will-barton/,The Associated Press
2023-02-28 00:00:00,Kevin Durant pudiera debutar con los Suns este miércoles,http://www.primerahora.com/deportes/baloncesto/notas/kevin-durant-pudiera-debutar-con-los-suns-este-miercoles/,The Associated Press
2023-02-28 00:00:00,Los emergentes Knicks derriban a los Celtics del primer puesto en la NBA,http://www.primerahora.com/deportes/baloncesto/notas/los-emergentes-knicks-derriban-a-los-celtics-del-primer-puesto-en-la-nba/,The Associated Press
2023-02-28 00:00:00,Conéctate a Filtro 360,http://www.primerahora.com/deportes/baloncesto/notas/la-nba-no-es-la-misma-sin-el-profe-conectate-hoy-a-filtro-360/,Primera Hora
2023-02-28 00:00:00,Revelan lo atropellado que fue el viaje de Brasil a Colombia,http://www.primerahora.com/deportes/baloncesto/notas/revelan-lo-atropellado-que-fue-el-viaje-de-brasil-a-colombia/,Fernando Ribas Reyes
2023-02-27 00:00:00,Nelson Colón declara de cara al Mundial: “Nos vamos a preparar para ganar el Mundial”,http://www.primerahora.com/deportes/baloncesto/notas/nelson-colon-declara-de-cara-al-mundial-nos-vamos-a-preparar-para-ganar-el-mundial/,Fernando Ribas Reyes
