fecha,titulo,enlace,autor
2023-02-27,FOTOS: La increíble transformación física de Angelique Boyer después de las cirugías,http://www.primerahora.com/entretenimiento/farandula/fotogalerias/fotos-la-increible-transformacion-fisica-de-angelique-boyer-despues-de-las-cirugias/,No autor
2023-02-27,"A días del homenaje a Ivy Queen, Lisa M lanza descarga y afirma ser la pionera",http://www.primerahora.com/entretenimiento/farandula/notas/a-dias-del-homenaje-a-ivy-queen-lisa-m-lanza-descarga-y-afirma-ser-la-pionera/,Primera Hora
2023-02-27,Mujer involucrada en el robo de los perros de Lady Gaga demanda a la cantante,http://www.primerahora.com/entretenimiento/farandula/notas/mujer-involucrada-en-el-robo-de-los-perros-de-lady-gaga-demanda-a-la-cantante/,El Universal / GDA
2023-02-27,De luto la cantante Madonna,http://www.primerahora.com/entretenimiento/farandula/notas/de-luto-la-cantante-madonna/,El Universal / GDA
2023-02-27,Así luce el actor que le dio vida a Teo en Rebelde,http://www.primerahora.com/entretenimiento/farandula/notas/asi-luce-el-actor-que-le-dio-vida-a-teo-en-rebelde/,El Universal / GDA
2023-02-26,Hackean cuenta de Luis Miguel y ofrecen boletos gratis para su concierto,http://www.primerahora.com/entretenimiento/farandula/notas/hackean-cuenta-de-luis-miguel-y-ofrecen-boletos-gratis-para-su-concierto/,El Universal / GDA
2023-02-26,"Karol G y Feid, ¿coquetean más allá de la música?",http://www.primerahora.com/entretenimiento/farandula/notas/karol-g-y-feid-coquetean-mas-alla-de-la-musica/,Primera Hora
2023-02-26,Revelan el arreglo estético que Shakira se hizo para su colaboración con Karol G,http://www.primerahora.com/entretenimiento/farandula/notas/revelan-el-arreglo-estetico-que-shakira-se-hizo-para-su-colaboracion-con-karol-g/,El Universal / GDA
2023-02-26,Miles rinden tributo a la memoria de Olivia Newton-John en Australia,http://www.primerahora.com/entretenimiento/farandula/notas/miles-rinden-tributo-a-la-memoria-de-olivia-newton-john-en-australia/,Agencia EFE
2023-02-26,FOTOS: Dayanara Torres durante su explosiva y colorida etapa como cantante,http://www.primerahora.com/entretenimiento/farandula/fotogalerias/fotos-dayanara-torres-durante-su-explosiva-y-colorida-etapa-como-cantante/,No autor
2023-02-25,Luis Miguel y sus extraños mensajes de Twitter,http://www.primerahora.com/entretenimiento/farandula/notas/luis-miguel-y-sus-extranos-mensajes-de-twitter/,El Universal / GDA
2023-02-25,Los mejores memes de la canción de Shakira y Karol G,http://www.primerahora.com/entretenimiento/farandula/fotogalerias/los-mejores-memes-de-la-cancion-de-shakira-y-karol-g/,No autor
2023-02-25,Jennifer López confiesa lo que compró con su primer millón de dólares ,http://www.primerahora.com/entretenimiento/farandula/notas/jennifer-lopez-confiesa-lo-que-compro-con-su-primer-millon-de-dolares/,El Universal / GDA
2023-02-25,Paris Hilton revela que perdió un bebé cuando tenía 20 años,http://www.primerahora.com/entretenimiento/farandula/notas/paris-hilton-revela-que-perdio-un-bebe-cuando-tenia-20-anos/,El Universal / GDA
2023-02-25,Atropellan al actor Danilo Carrera,http://www.primerahora.com/entretenimiento/farandula/notas/atropellan-al-actor-danilo-carrera/,El Universal / GDA
2023-02-25,Shakira retira la bruja que tenía en su balcón,http://www.primerahora.com/entretenimiento/farandula/notas/shakira-retira-la-bruja-que-tenia-en-su-balcon/,El Universal / GDA
2023-02-24,Joffre Pérez celebra 60 años de carrera artística,http://www.primerahora.com/entretenimiento/farandula/notas/joffre-perez-celebra-60-anos-de-carrera-artistica/,Luis Ernesto Berríos
2023-02-23,Alec Baldwin se declara no culpable de homicidio involuntario en el set de “Rust”,http://www.primerahora.com/entretenimiento/farandula/notas/alec-baldwin-se-declara-no-culpable-de-homicidio-involuntario-en-el-set-de-rust/,Servicios combinados
2023-02-23,Sentencian a Harvey Weinstein a 16 años de cárcel por caso de agresión sexual,http://www.primerahora.com/entretenimiento/farandula/notas/sentencian-a-harvey-weinstein-a-16-anos-de-carcel-por-caso-de-agresion-sexual/,The Associated Press
2023-02-23,Condenan a R. Kelly a 20 años de cárcel por pornografía infantil,http://www.primerahora.com/entretenimiento/farandula/notas/condenan-a-r-kelly-a-20-anos-de-carcel-por-pornografia-infantil/,The Associated Press
2023-02-23,La doctora de 50 años que sería la novia de Shawn Mendes,http://www.primerahora.com/entretenimiento/farandula/notas/la-doctora-de-50-anos-que-seria-la-novia-de-shawn-mendes/,Servicios combinados
2023-02-23,FOTOS: Estas son las celebridades que consiguen muchos chavos en OnlyFans,http://www.primerahora.com/entretenimiento/farandula/fotogalerias/fotos-estas-son-las-celebridades-que-consiguen-muchos-chavos-en-onlyfans/,No autor
2023-02-23,Irreconocible: filtran foto de Pablo Lyle antes de ser trasladado a una nueva prisión,http://www.primerahora.com/entretenimiento/farandula/notas/irreconocible-filtran-foto-de-pablo-lyle-antes-de-ser-trasladado-a-una-nueva-prision/,El Universal / GDA
2023-02-23,Duro proceso para mamá de Bruce Willis ante diagnóstico de demencia frontotemporal,http://www.primerahora.com/entretenimiento/farandula/notas/duro-proceso-para-mama-de-bruce-willis-ante-diagnostico-de-demencia-frontotemporal/,El Tiempo / GDA
2023-02-23,Yailin presume coche de bebé lleno de dinero y causa controversia,http://www.primerahora.com/entretenimiento/farandula/notas/yailin-presume-coche-de-bebe-lleno-de-dinero-y-causa-controversia/,El Comercio / GDA
2023-02-22,Comprometido de Avril Lavigne se entera de ruptura en medio de gira musical,http://www.primerahora.com/entretenimiento/farandula/notas/comprometido-de-avril-lavigne-se-entera-de-ruptura-en-medio-de-gira-musical/,El Universal / GDA
2023-02-22,Mamá de niña busca a Karol G para devolverle un regalo que le hizo a la menor,http://www.primerahora.com/entretenimiento/farandula/notas/mama-de-nina-busca-a-karol-g-para-devolverle-un-regalo-que-le-hizo-a-la-menor/,El Tiempo / GDA
2023-02-22,Madonna publica foto tras reciente cirugía en su rostro,http://www.primerahora.com/entretenimiento/farandula/notas/madonna-publica-foto-tras-reciente-cirugia-en-su-rostro/,El Tiempo / GDA
2023-02-22,Avril Lavigne rompe su compromiso y es captada junto al ex de Kylie Jenner,http://www.primerahora.com/entretenimiento/farandula/notas/avril-lavigne-rompe-su-compromiso-y-es-captada-junto-al-ex-de-kylie-jenner/,El Universal / GDA
2023-02-21,Atropellan a Rafael Araneda de “Enamorándonos”,http://www.primerahora.com/entretenimiento/farandula/notas/atropellan-a-rafael-araneda-de-enamorandonos/,Primera Hora
2023-02-27,Isabel Pantoja regresa tan fabulosa como siempre,http://www.primerahora.com/entretenimiento/musica/notas/isabel-pantoja-regresa-tan-fabulosa-como-siempre/,Francisco Javier Díaz
2023-02-27,Ana Gabriel anuncia su retiro de los escenarios ,http://www.primerahora.com/entretenimiento/musica/notas/ana-gabriel-anuncia-su-retiro-de-los-escenarios/,El Universal / GDA
2023-02-27,Recuerdan a exMenudo Ray Reyes con emotiva interpretación del tema “Si tú no estás”,http://www.primerahora.com/entretenimiento/musica/notas/recuerdan-a-exmenudo-ray-reyes-con-emotiva-interpretacion-del-tema-si-tu-no-estas/,Primera Hora
2023-02-26,Tercer Cielo se despide con emotivo concierto en el Choliseo,http://www.primerahora.com/entretenimiento/musica/notas/tercer-cielo-se-despide-con-emotivo-concierto-en-el-choliseo/,Primera Hora
2023-02-26,Sebastián Yatra alcanza la cima de rascacielos en Miami,http://www.primerahora.com/entretenimiento/musica/notas/sebastian-yatra-alcanza-la-cima-de-rascacielos-en-miami/,Primera Hora
2023-02-26,Reguetoneros boricuas sacuden Bogotá con su “perreo violento”,http://www.primerahora.com/entretenimiento/musica/notas/reguetoners-boricuas-sacuden-bogota-con-su-perreo-violento/,Agencia EFE
2023-02-25,¿Cuánto ‘factura’ Shakira por las tiraeras a Piqué?,http://www.primerahora.com/entretenimiento/musica/notas/cuanto-factura-shakira-por-las-tiraeras-a-pique/,El Tiempo / GDA
2023-02-25,Las indirectas en la canción “TQG” de Karol G y Shakira,http://www.primerahora.com/entretenimiento/musica/notas/las-indirectas-en-la-cancion-tqg-de-karol-g-y-shakira/,El Universal / GDA
2023-02-25,La reacción de Nicky Jam a la canción de Karol G y Shakira,http://www.primerahora.com/entretenimiento/musica/notas/la-reaccion-de-nicky-jam-a-la-cancion-de-karol-g-y-shakira/,Primera Hora
