fecha,titulo,autor,categoria,enlace
2023-03-02,Bajan un 77 % las fiestas en hospederías Airbnb en la isla desde 2020,Agencia EFE,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/bajan-un-77-las-fiestas-en-hospederias-airbnb-en-la-isla-desde-2020/
2023-03-02,Madre e hijo son víctimas de “carjacking” en Camuy,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/madre-e-hijo-son-victimas-de-carjacking-en-camuy/
2023-03-02,Repatrian a 27 migrantes dominicanos desde las aguas de Puerto Rico,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/repatrian-a-27-migrantes-dominicanos-desde-las-aguas-de-puerto-rico/
2023-03-02,Cierran tramo de carretera en Guayama por un poste a punto de caer al pavimento,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/cierran-tramo-de-carretera-en-guayama-por-un-poste-a-punto-de-caer-al-pavimento/
2023-03-02,Condenan a dos años de cárcel a contable en Aguada por esquema de fraude,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/condenan-a-dos-anos-de-carcel-a-contable-en-aguada-por-esquema-de-fraude/
2023-03-02,Caliente manifestación en Ponce por expresiones de la Primera Dama,Sandra Torres Guzmán,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/caliente-manifestacion-en-ponce-por-expresiones-de-la-primera-dama/
2023-03-02,Presentan faltas por posesión de drogas a un menor en Aguada ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/presentan-faltas-por-posesion-de-drogas-a-un-menor-en-aguada/
2023-03-02,Arrestan hombre por presunta agresión a su hijo de 10 años,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/arrestan-hombre-por-presunta-agresion-a-su-hijo-de-10-anos/
2023-03-02,Muere confinado en cárcel de Aguadilla por causas desconocidas  ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/muere-confinado-en-carcel-de-aguadilla-por-causas-desconocidas/
2023-03-02,Confinado de Bayamón pierde varios dientes tras agresión,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/confinado-de-bayamon-pierde-varios-dientes-tras-agresion/
2023-03-02,Aumentan en un 25% los robos en la isla durante los primeros dos meses del año,Maribel Hernández Pérez,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/aumentan-en-un-25-los-robos-en-la-isla-durante-los-primeros-dos-meses-del-ano/
2023-03-02,Asaltan a mano armada restaurante de comida rápida en Bayamón,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/asaltan-a-mano-armada-restaurante-de-comida-rapida-en-bayamon/
2023-03-02,Asesinan a hombre en urbanización en Cupey,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/asesinan-a-hombre-en-urbanizacion-en-cupey/
2023-03-02,Llega la solidaridad y el abrazo de la gente para Carlos y su familia,Osman Pérez Méndez,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/llega-la-solidaridad-y-el-abrazo-de-la-gente-para-carlos-y-su-familia/
2023-03-02,Mueren dos caballos al ser impactados por conductor en Toa Alta,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/mueren-dos-caballos-al-ser-impactados-por-conductor-en-toa-alta/
2023-03-02,Hieren de bala a joven en cancha de baloncesto en Vieques,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/hieren-de-bala-a-joven-en-cancha-de-baloncesto-en-vieques/
2023-03-02,Comisión de la Cámara cita so pena de desacato a la presidenta alterna de la CEE,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/comision-de-la-camara-cita-so-pena-de-desacato-a-la-presidenta-alterna-de-la-cee/
2023-03-02,Tatito Hernández se roba el tiro y radica resolución del presupuesto para el año fiscal 2023-2024,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/tatito-hernandez-se-roba-el-tiro-y-radica-resolucion-del-presupuesto-para-el-ano-fiscal-2023-2024/
2023-03-02,Jenniffer González se tira al medio al considerar “seriamente” aspirar a la gobernación,Sandra Torres Guzmán,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/jenniffer-gonzalez-se-tira-al-medio-al-considerar-seriamente-aspirar-a-la-gobernacion/
2023-03-02,Servidores Públicos Progresistas se cantan listos para la Asamblea General del PNP,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/servidores-publicos-progresistas-se-cantan-listos-para-a-asamblea-general-del-pnp/
2023-03-02,Nueva Junta de Gobierno del PPD tendrá reunión este sábado,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/nueva-junta-de-gobierno-del-ppd-tendra-reunion-este-sabado/
2023-03-02,Gobierno dice demanda contra farmacéuticas ha rendido frutos,Agencia EFE,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/gobierno-dice-demanda-contra-farmaceuticas-ha-rendido-frutos/
2023-03-02,¿Por qué hoy es feriado en Puerto Rico?,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/por-que-hoy-es-feriado-en-puerto-rico/
2023-03-02,Residentes juramentan como ciudadanos americanos en Puerto Rico,Adriana Díaz Tirado,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/residentes-juramentan-como-ciudadanos-americanos-en-puerto-rico/
2023-03-02,Encarcelan hombre que se alega mantenía patrón de maltrato contra su pareja,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/encarcelan-hombre-que-se-alega-mantenia-patron-de-maltrato-contra-su-pareja/
2023-03-02,Intervienen con conductor por violación a la Ley de Tránsito ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/intervienen-con-conductor-por-violacion-a-la-ley-de-transito/
2023-03-02,Municipio de Cataño prohíbe el voceteo,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/municipio-de-catano-prohibe-el-voceteo/
2023-03-02,La derecha cierra filas en torno a Trump en su “Woodstock” republicano ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/la-derecha-cierra-filas-en-torno-a-trump-en-su-woodstock-republicano/
2023-03-02,Lo adoptaron pensando que era un perro y se llevaron una tremenda sorpresa cuando empezó a crecer,La Nación Argentina / GDA,Mundo,http://www.primerahora.com/noticias/mundo/notas/lo-adoptaron-pensando-que-era-un-perro-y-se-llevaron-una-tremenda-sorpresa-cuando-empezo-a-crecer/
2023-03-02,El papa habla sobre la Iglesia y la tragedia de los abusos ,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/el-papa-habla-sobre-la-iglesia-y-la-tragedia-de-los-abusos/
2023-03-02,Estados Unidos le llama la atención a presidente salvadoreño sobre derechos humanos ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/estados-unidos-le-llama-la-atencion-a-presidente-salvadoreno-sobre-derechos-humanos/
2023-03-02,Trump podría ser demandado por asalto a Capitolio,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/trump-podria-ser-demandado-por-asalto-a-capitolio/
2023-03-02,Nevadas y lluvias alivian un poco la sequía en California,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/nevadas-y-lluvias-alivian-un-poco-la-sequia-en-california/
2023-03-02,Denuncian el uso político de los inmigrantes por DeSantis en Florida ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/denuncian-el-uso-politico-de-los-inmigrantes-por-desantis-en-florida/
